message,length
"As a Latin theologian, Rooney is heir to the Augustinian-Thomist tradition
that after humanity’s fall into sin and alienation, God remains free to decide
whether or not to exercise his salvific will. Humanity does not deserve
rescue, only judgment and damnation. If God should subsequently decide to
save, it’s pure grace, contingent not necessary. Eastern theologians, however,
following St Maximus the Confessor, insist otherwise.4 God’s free decision to
create includes his decision to save fallen humanity in Jesus Christ.
Incarnation logically precedes creation. If humanity had not sinned, the
eternal Son would still have embodied himself as a human being in order to
divinize all; but given the Adamic Fall, the incarnate Son freely but
necessarily embraces his soteriological mission of cross and resurrection, not
as a second decision but as a decision made in God’s one eternal act. From the
beginning, it’s all grace. In the words of the Apostle Paul:",963
"[6] See Tobias Hoffman, “Freedom Without Choice: Medieval Theories of the
Essence of Freedom,” in _The Cambridge Companion to Medieval Ethics_ (2019),
pp. 194–216; and my article “[Avicenna and Aquinas: Ruminating Divine
Freedom](https://afkimel.wordpress.com/2022/11/07/ruminating-divine-freedom-
and-necessity-avicenna-and-aquinas/).”",336
"[8] I confess I find it virtually impossible to contemplate God in his
transcendence and even more so to articulate. How do we think Deity beyond
being and his decision to create the cosmos? And of course we can’t.
Inevitably we think of him as a being confronted by a variety of choices.
Reading Dionysius the Areopagite several years ago, with Eric Perl as my
guide, was a real eye-opener for me. See, e.g., my article “[Transcending
Freedom and Necessity](https://afkimel.wordpress.com/2018/07/14/dionysian-
ponderings-transcending-freedom-and-necessity/).” Until one has glimpsed the
radical difference between Creator and creature, statements like the following
will make little sense:",690
"Of course, the last point lands us back with problematic pantheistic theories
of God’s nature, which seriously problematic assumptions are in the backdrop
of contemporary defenses of universalism. My point, again, is that these
assumptions about God’s nature that are playing a serious background role in
motivating universalism for many here are not as innocent as they seem. They
are profoundly heretical in the sense that they undermine the whole orthodox
Christian story at the roots and substitute a distinct Gospel.",521
"> God exists _a se_ , He cannot fail to do what is best, and in _Cur deus
> homo_ , the conclusion is that, since only a God-man can effect the
> completion of the work God started with the creation of man, God ‘must’
> become Incarnate. God’s act of Incarnation and sacrifice is ‘necessary’ in
> that He could not will otherwise, and yet it is entirely free by the
> definition of ‘free will’ that Anselm developed in _De libertate arbitrii_.
> . . . Thus we have good reason to take it that Anselm’s point in _Cur deus
> homo_ that God’s freedom does not require choosing between open options is
> intended to apply to any divine act, not just to actions relative to a given
> world. Rather, divine freedom is entirely consistent with God doing the best
> as an inevitability of His nature.9",793
"> Christ is the image of the invisible God, the first-born of all creation;
> for in him all things were created, in heaven and on earth, visible and
> invisible, whether thrones or dominions or principalities or authorities—all
> things were created through him and for him. He is before all things, and in
> him all things hold together. He is the head of the body, the church; he is
> the beginning, the first-born from the dead, that in everything he might be
> pre-eminent. For in him all the fulness of God was pleased to dwell, and
> through him to reconcile to himself all things, whether on earth or in
> heaven, making peace by the blood of his cross. (Col 1:15-20)",675
"The first option seems to me much more serious, and I think it’s the way you,
DBH, and Jordan Wood go. This is that you think God makes an eternal decision
such that God cannot have done otherwise than create and save human beings,
because God being the Good requires that He always act this way. This simply
makes God dependent on the universe, implying a form of pantheism, because God
has an essential relation to the universe. This is obviously true if you
accept that account of modality implied by possible world semantics, since you
said that God necessarily does exactly the same thing in every universe – on
that possible world semantics, this entails that God is essentially related to
the universe. Now, you can give another account of essence, but you seem to
think that God’s essence involves necessarily creating and redeeming. If this
is essential to God, you have a deep problem in your account of the divine
nature.",932
"This entry was posted in
[Eschatology](https://afkimel.wordpress.com/category/eschatology-2/),
[Theology](https://afkimel.wordpress.com/category/theology/) and tagged
[Anselm](https://afkimel.wordpress.com/tag/anselm/),
[Aquinas](https://afkimel.wordpress.com/tag/aquinas/),
[Bonaventure](https://afkimel.wordpress.com/tag/bonaventure/), [divine
freedom](https://afkimel.wordpress.com/tag/divine-freedom/), [James Dominic
Rooney](https://afkimel.wordpress.com/tag/james-dominic-rooney/), [necessary
truth](https://afkimel.wordpress.com/tag/necessary-truth/),
[necessity](https://afkimel.wordpress.com/tag/necessity/), [universal
salvation](https://afkimel.wordpress.com/tag/universal-salvation/). Bookmark
the [permalink](https://afkimel.wordpress.com/2022/11/30/universal-salvation-
love-is-its-own-necessity/ ""Permalink to Universal Salvation: Love Is Its
Own Necessity"").",874
"[10] “[For Thomas] the decision to create has nothing directly to do with the
divine goodness, since it is an arbitrary and radically free act of the divine
will.” Kevin Keane, “[Why Creation? Bonaventure and Thomas Aquinas on God as
Creative Good](https://afkimel.files.wordpress.com/2022/10/bonvaventure-and-
aquinas-on-creation-by-kevin-keane.pdf),” _Downside Review_ 95 (April 1975):
101.",392
"If it rains hard and long enough, a river will pour over its banks and flood
the valley.",88
"> A necessary truth is one that could not have been otherwise. It would have
> been true under all circumstances. A contingent truth is one that is true,
> but could have been false. A necessary truth is one that must be true; a
> contingent truth is one that is true as it happens, or as things are, but
> that did not have to be true. In Leibniz’s phrase, a necessary truth is true
> in all possible worlds. If these are all the worlds that accord with the
> principles of logic, however different they may be otherwise, then the truth
> is a logically necessary truth. If they cover all the worlds whose
> metaphysics is possible, then the proposition is metaphysically necessary.
> If a proposition is only true in all the worlds that are physically
> possible, then the proposition is true of physical necessity.1",818
"If the wind blows hard enough, a hanging apple will fall from the tree.",71
"In love he became Man in Jesus Christ.  
In love he died on the cross for the sins of the world.  
In love he rose from the dead and ascended into heaven.  
In love he poured out the Spirit on all flesh.  
In love he will return in glory to judge the quick and the dead.  
In love he will restore all of creation to himself.  
In love he will be all in all.",357
"I quote the above not to deflect our discussion into another topic, but simply
to point out the diversity of understandings of divine freedom and necessity.",156
"Posted on [30 November
2022](https://afkimel.wordpress.com/2022/11/30/universal-salvation-love-is-
its-own-necessity/ ""4:01 pm"") by [Fr Aidan
Kimel](https://afkimel.wordpress.com/author/akimel/ ""View all posts by Fr
Aidan Kimel"")",229
"In his absolute and unconditional love, the God and Father of Jesus Christ has
eternally and immutably determined to bring every human being into the love,
bliss, and ecstatic joy of his Kingdom.",195
"> God is not a finite being in whom the distinction of freedom from necessity
> has any meaning. Perfect freedom is the unhindered realization of a nature
> in its proper end; and God’s infinite freedom is the eternal fulfillment of
> the divine nature in the divine life.” (David Bentley Hart, _You Are Gods_
> [2022], p. 115)
>
> As such, the One itself just is the ‘making’ of all things: not a thing-
> which-makes, which would imply a distinction between the One and its act of
> making and thus treat the One as a being and as having activities distinct
> from itself, but simply ‘making’ itself, not an ontic producer but rather
> the production of all things. As Plotinus so often says, the One is not any
> thing but rather the “power of all things,” . . . the enabling condition in
> virtue of which they are beings. Thus if we are to speak of the generation
> of being in terms of ‘will’ or ‘activity’ at all, we must allow no
> distinction between the One and its will or activity but say that this will
> or activity just is the One itself. (Eric Perl, _Thinking Being_ [2014], p.
> 124)",1100
"The second option is that you think God can have no good justifying reason for
permitting anyone to persist in mortal sin forever, in the sense that not even
God could achieve suitable greater goods by virtue of this permission. Nothing
of what you’ve said shows that this is true.",281
"Does it mean that God heals sinners from their disordered desires and
passions, thereby liberating them for a relationship of friendship and love
with their Creator?",165
"In all such cases, the being necessarily acts according to its nature; it is
not free to do otherwise. Human beings may also be described as acting
according to nature if their disordered desires and addictions inhibit their
willing according to the sound dictates of reason.",275
"[4] See Georges Florovsky, “[Cur Deus Homo? The Motive of the
Incarnation](https://jbburnett.com/resources/florovsky/3/florovsky_3-6a-curdeushomo.pdf)”
_Collected Works of Georges Florovsky_ , Vol. III: _Creation and Redemption_
(1976), pp. 163-170; Bogdan Bucur, “[Foreordained From All
Eternity](https://www.academia.edu/4996258/Foreordained_from_All_Eternity_The_Mystery_of_the_Incarnation_According_to_Some_Early_Christian_and_Byzantine_Writers),”
_Dumbarton Oaks Papers_ , 62 (2008): 199-215; Artemije Radosavljević,
“[Deification as the End and Fulfillment of Salvation According to St. Maximos
the
Confessor](https://www.hsir.org/pdfs/2009/03/26/20090326aGiatiEnsB7%20Folder/20090326aGiatiEnsB7.pdf).”",708
    * Already have a WordPress.com account? [Log in now.](https://wordpress.com/log-in?redirect_to=https%3A%2F%2Fafkimel.wordpress.com%2F2022%2F11%2F30%2Funiversal-salvation-love-is-its-own-necessity%2F&signup_flow=account),223
