message,length
"But if there are cases like (1), there will surely also be cases where the
moral considerations in favor of _ϕ_ ing do not rise to the level of a
requirement, but are sufficient to override the _N_ -prohibition. In those
cases, presumably:",239
"However, there is another story possible. Perhaps in the case where the moral
considerations are at too low a level to override the _N_ -prohibition, we can
still have _moral_ permission to _ϕ_ , but that permission no longer overrides
the _N_ -prohibition. On this story, there are two kinds of cases, in both of
which we have moral permission, but in one case the moral permission comes
along with sufficiently strong moral considerations to override the _N_
-prohibition, while in the other it does not. On this story, moral requirement
always overrides non-moral reasons; but whether moral considerations override
non-moral considerations depends on the relative strengths of the two sets of
considerations.",711
"where “ _N_ ” is some norm like that of prudence or etiquette. In this case,
the moral requirement of _ϕ_ ing overrides the _N_ -prohibition on _ϕ_ ing.
Thus, you might be rude to make a point of justice or sacrifice your life for
the sake of justice.",251
"People often talk of moral norms as overriding. The paradigm kind of case
seems to be like this:",96
"I don’t want to say that all norms are moral norms. But it may well be that
all norms governing the functioning of the will are moral norms.",140
"So far so good. Moral norms can override non-moral norms in two ways: by
creating a moral requirement contrary to the non-moral norms or by creating a
moral permission contrary to the non-moral norms.",200
"But now consider this. What happens if the moral considerations are at an even
lower level, a level insufficient to override the _N_ -prohibition? (E.g.,
what if to save someone’s finger you would need to sacrifice your arm?) Then,
it seems:",241
"Still, consider this. The judgment whether moral considerations override the
non-moral ones seems to be an eminently _moral_ judgment. It is the person
with _moral_ virtue who is best suited to figuring out whether such overriding
happens. But what happens if morality says that the moral considerations do
not override the _N_ -prohibition? Is that not a case of morality giving its
endorsement to the _N_ -prohibition, so that the _N_ -prohibition would rise
to the level of a moral prohibition as well? But if so, then that pushes us
back to the previous story where it is reasonable to take _N_ -considerations
to be subsumed into moral considerations.",656
"But this would be quite interesting. It would imply that in the absence of
sufficient moral considerations in favor of _ϕ_ ing, an _N_ -prohibition would
automatically generate a _moral_ prohibition. But this means that the real
normative upshot in all three cases is given by morality, and the _N_ -norms
aren’t actually doing any independent normative work. This suggests strongly
that on such a picture, we should take the _N_ -norms to be simply a species
of moral norms.",475
"Cases of supererogation look like that: you are morally permitted to do
something contrary to prudential norms, but not required to do so.",138
"This is a fun puzzle. It seems like David Lewis’ convention work, or Thomas
Schelling’s coordination and focal points stuff must be relevant.",141
