message,length
"Oui, moi qui, il y a un an encore, lisais tous les soirs non seulement la
Bible mais la Confession de foi baptiste de Londres, j’ai abandonné cette
position. Je l’ai d’abord caché, puis suggéré, puis carrément affirmé mais je
n’ai pas encore expliqué et défendu le pédobaptisme sur mon blog. Le moment
est venu.",311
"Hébreu né d’hébreux, ou plutôt, baptiste né de baptistes, j’ai du expliquer à
ma famille et mes amis mon changement de position. Tout d’abord, j’ai écrit un
court document pour mettre au clair mon cheminement. Puis ce document s’est
transformé en une défense du pédobaptisme de près de 200 pages. C’est le
contenu de ce livre que j’aimerai maintenant adapter en articles.",371
"Tout d’abord, il faut que je définisse « pédobaptême » dans mes premiers
articles parce que les évangéliques lecteurs de ce blog associent surtout
cette pratique au catholicisme ou aux vidéos Facebook des enfants qui pleurent
dans les mains d’un prêtre décidément résolu à les noyer. Il convient donc
d’expliquer en quoi la pratique _et_ la doctrine diffèrent de celles des
catholiques romains.",394
"Ensuite, il me faudra présenter une quinzaine d’arguments en faveur du
pédobaptême. Puis je répondrait aux objections générales, aux réponses aux
arguments présentés et aux questions à ce sujet. Finalement, j’aborderai (et
j’ai déjà commencé à le faire) les objections plus techniques formées par les
prétendus « réformés baptistes » et les adhérents de la New Covenant Theology
qui concernent principalement des débats sans fin sur la nature de la Nouvelle
Alliance. Je pense pouvoir montrer qu’une fois que les termes sont définis,
ces débats ne sont plus si complexes ni interminables.",588
"Je vous ai habitué aux longues séries, vous n’êtes pas au début de vos peines
puisque ce sujet sera abordé par plusieurs longues séries.",136
"Puisque je suis désormais au Cameroun pour quelques semaines puis à
Carcassonne pour aider l’Église (baptiste !) là-bas à évangéliser, je n’aurai
pas le temps d’écrire de nouveaux articles. Par contre, je peux programmer un
article par jour pendant cette période en commençant à publier par morceau ce
livre sur le pédobaptême. Le mois d’août sera donc consacré au pédobaptême, ce
qui me permet de prendre une pause dans l’écriture tout en proposant quand
même des choses à lire. Bonne lecture et priez pour ces efforts missionnaires
au Cameroun et à Carcassonne !",564
"Maxime est étudiant en médecine à Lille. Fondateur du blog Parlafoi.fr, il se
passionne pour la théologie systématique, l'histoire du dogme et la
philosophie réaliste. Vous entendrez souvent dans sa bouche ""Thomas d'Aquin"",
""Jean Calvin"" et ""Vive la scolastique"". Il affirme être marié à la meilleure
épouse du monde. Ils vivent ensemble sur Lille avec leurs deux enfants et sont
moniteurs de la méthode Billings.",413
"Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont
indiqués avec *",86
"Il y a environ 2-3 ans, j’ai commencé à m’intéresser à la façon dont la Bible
est structurée dans son histoire. Pourquoi Dieu fait une alliance avec Noé,
avec Abraham, avec Moïse ? À quoi ça rime ? Pourquoi Abraham est-il appelé «
notre père » ? Quel est le lien entre nous, croyants du Nouveau Testament, et
tous ces personnages bibliques qui combattaient des ennemis bien différents
des nôtres ?",397
"Cette étude s’appelle en théologie la « Théologie de l’Alliance ». J’ai donc
acheté il y a quelques années un livre écrit par un ami québécois sur ce
sujet. Dans ce livre, l’auteur étudie le lien entre les alliances bibliques et
utilise cela pour critiquer le baptême des enfants.",280
"Ça me rassure, à l’époque moi aussi j’étais contre cette pratique.",66
"Toutefois, c’est en lisant ce livre que je me suis rendu compte que le débat
est beaucoup plus compliqué que ce que je pensais. Il ne suffit pas de dire :
Ce n’est pas écrit « baptisez les enfants » donc il ne faut pas les baptiser.
Le sujet est beaucoup plus profond.",268
"Puis j’ai lu au cours des années qui ont suivi des articles sur le sujet et
j’ai vraiment réalisé que c’était un débat complexe. J’ai même dû admettre que
les pédobaptistes avaient de bons arguments.",199
"J’étais donc plutôt troublé par ce débat. Je me disais « si même les grands
théologiens ne sont pas d’accord, comment pourrai-je, moi, savoir ce qui est
vrai ? ». J’ai donc repoussé la question à plus tard en me disant « Il faudra
bien que je m’y colle un jour ».",263
"Puis, j’ai commencé à réaliser que le débat avec les catholiques était lui
aussi très complexe. Plus complexe même. Et c’est à partir de ce moment et
pendant presque deux ans que j’ai été très troublé dans ma foi. Que l’on ne
soit pas d’accord sur le baptême, ok. Mais si le débat avec les cathos est
tout aussi compliqué, comment vais-je pouvoir trouver la vérité ? Et s’ils
avaient raison ? Si j’avais été trompé depuis tout petit ? Si tout ce qui fait
ma foi, ma vie, venait à s’écrouler ? Impossible d’en parler, c’est beaucoup
trop tabou. Personne ne comprendrait que je me questionne face au
catholicisme. Ces adorateurs de statues, comme les voient les évangéliques, ne
peuvent que se tromper.",700
"Grâce à Dieu et en réponse à de nombreuses prières, j’ai pu sortir de ce cycle
en lisant des théologiens qui ont su répondre patiemment aux objections des
catholiques et qui ont su me montrer que la Bible est claire.",216
"Pas en théorie. Pas juste pour faire beau sur le papier. La Bible est claire
en vrai. On peut connaître ce qu’elle enseigne et savoir ce que Dieu veut !
C’était comme une nouvelle naissance pour moi de redécouvrir cette vérité.
Peut-être que vous ne comprenez pas tellement comment j’ai pu douter de cela :
ça s’est fait progressivement et, comme je l’ai dit, c’est venu du fait que je
me sentais submergé par tous ces grands spécialistes qui n’étaient pas
d’accord.",466
"Ah, mais ça voulait aussi dire que la Bible est claire sur la question du
baptême. J’ai donc décidé que c’était le moment de me repencher sur cette
question. Et c’est à ce moment que j’ai été convaincu, après quelques mois de
lectures et de débat, que les réformés avaient raison sur ce sujet.",293
"Maxime est étudiant en médecine à Lille. Fondateur du blog Parlafoi.fr, il se
passionne pour la théologie systématique, l'histoire du dogme et la
philosophie réaliste. Vous entendrez souvent dans sa bouche ""Thomas d'Aquin"",
""Jean Calvin"" et ""Vive la scolastique"". Il affirme être marié à la meilleure
épouse du monde. Ils vivent ensemble sur Lille avec leurs deux enfants et sont
moniteurs de la méthode Billings.",413
"Cette serie m’intéresse énormement car je suis aussi passé par ces moments de
questionnement vis-à-vis des catholiques, et aujourd’hui, avec ma très
-prochainement-femme de confession catholique, nous allons dans les rues et
nous prions pour des gens sans les connaître ! C’est juste trop fou !",294
"Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont
indiqués avec *",86
"Avant d’aborder les arguments et les objections au sujet du baptême des
enfants, il peut être utile d’apporter quelques définitions pour éviter les
malentendus",159
"Les catholiques baptisent les enfants. Mais cela ne signifie pas que baptiser
les enfants fait d’une personne un catholique romain. En fait, en dehors du
monde évangélique (baptistes, charismatiques, pentecôtistes, anabaptistes,
etc.) tout le monde baptise les enfants (les luthériens, anglicans, réformés,
méthodistes, presbytériens, etc.). Et même une partie des évangéliques le
font, on les appelle « réformés évangéliques ».",428
"Étonnamment, le pédobaptisme ne consiste pas simplement à baptiser les
enfants. Les catholiques pensent que tous les enfants peuvent être baptisés
car ils pensent qu’appliquer de l’eau consacrée sur le corps d’un enfant lui
confère une certaine grâce. Nous, les réformés, ne croyons pas que l’eau est
magique. Nous ne baptisons pas tous les enfants. Nous baptisons les enfants
_de ceux qui professent la foi et sont membres réguliers de l’Église_ car nous
croyons que Dieu a établi un lien particulier entre les croyants et leurs
enfants qui leur donne droit au baptême. Par ailleurs, les réformés baptisent
aussi des adultes. Et les baptistes baptisent aussi des enfants professants.
Ainsi, le débat n’est pas tant enfant vs. adulte que sur la nature de la
famille, sur la façon de considérer nos enfants et leur place dans l’Église.",834
"Ainsi, il serait peut-être mieux de parler de crédobaptisme et
d’oikosbaptisme. Le premier terme signifie en effet « baptême des croyants »
et le second « baptême de familles ».",177
"Je l’ai dit et je le redis, nous ne croyons pas que l’eau est magique. Le
pédobaptême réformé c’est donc baptiser les enfants de croyants sur la base
d’une promesse particulière que Dieu fait aux croyants et à leurs enfants. Par
ailleurs, nous pensons que cette promesse divine qu’est le baptême nécessite
une réponse de foi de la part de l’enfant quand il pourra le faire et un
engagement des parents à éduquer cet enfant dans la crainte de Dieu.",447
"Plus d’info : [quel est le lien entre foi et baptême
?](https://parlafoi.fr/2019/01/30/quel-est-le-lien-entre-bapteme-et-foi/)",126
"Maxime est étudiant en médecine à Lille. Fondateur du blog Parlafoi.fr, il se
passionne pour la théologie systématique, l'histoire du dogme et la
philosophie réaliste. Vous entendrez souvent dans sa bouche ""Thomas d'Aquin"",
""Jean Calvin"" et ""Vive la scolastique"". Il affirme être marié à la meilleure
épouse du monde. Ils vivent ensemble sur Lille avec leurs deux enfants et sont
moniteurs de la méthode Billings.",413
"Le baptême ne peut être administré que par un pasteur ou quelqu’un qui en a
une commission. Dès le seizième siècle, le baptême administré par celui qui
n’a aucune vocation ni commission est considéré comme nul. Dans le contexte
d’alors, cela signifiait que l’on acceptait les baptêmes faits par des prêtres
catholiques, mais qu’on rejetait ceux qui étaient faits par des moines, des
proposants [élèves pasteurs] ou simples particuliers. Détail amusant : la
plupart des gens au début du dix-septième siècle arrivaient jusqu’à la
vieillesse sans autre baptême que celui qui était fait par les sages-femmes,
considéré comme nul, ce qui a posé un problème particulier au synode de la
Rochelle 1607. Par ailleurs, il ne suffit pas d’être docteur: c’est bien le
statut de pasteur qui permet d’administrer les sacrements, et celui-là seul.",832
  1. [10 bonnes raisons d’être pédobaptiste ! – PAR LA FOI](https://parlafoiblog.wordpress.com/2018/11/16/10-bonnes-raisons-detre-pedobaptiste/) \- […] Qu’est-ce que le pédobaptême ? Est-ce catholique ? […],206
  2. [10 bonnes raisons d'être pédobaptiste ! - Par la foi](http://parlafoi.local/2018/11/16/10-bonnes-raisons-detre-pedobaptiste/) \- […] Qu’est-ce que le pédobaptême ? Est-ce catholique ? […],193
"Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont
indiqués avec *",86
"J’ai écrit beaucoup d’articles sur le pédobaptême, mais il manquait encore un
article synthétique qui résume quelques-unes des principales raisons pour
lesquelles mes enfants, Dieu voulant, seront baptisés. C’est ce que je propose
ici en donnant 10 bonnes raisons d’être pédobaptiste. Pour chaque raison, je
propose aussi des articles pour aller plus loin.",356
"Nous constatons dans les Actes (10:48, 16:15, 16:32-34, 18:8) que de
nombreuses familles sont baptisées. Ce qui est plus intéressant, c’est de
constater que toutes les familles présentes en Actes sont baptisées et que
tous les baptêmes de païens sont des baptêmes de famille. La majorité des
baptêmes sont des baptêmes de famille. Je pense que Luc ne fait pas l’oeuvre
d’un journaliste qui veut simplement « faire du sensationnel ». Il veut
communiquer un message théologique : Et si Dieu était enfin en train
d’accomplir sa grande promesse faite à Abraham de bénir toutes _les familles_
de la terre en lui (Gen 12:3) ? N’est-ce pas précisément ce que le Messie est
venu accomplir (Luc 1:55, 68-73) ?",700
"Autrement dit, le débat autour du fait qu’il y ait eu ou non des enfants dans
ces familles passe à côté du coeur du problème : un baptiste dira qu’il n’y en
avait pas (et c’est peu probable), un pédobaptiste dira qu’il y en avait. Par
contre, seuls les pédobaptistes peuvent expliquer la direction théologique
choisie par Luc.",326
"Cette compréhension familiale de la mission de l’Église que je vois dans
l’Écriture me semble absente du modèle baptiste. De quand date le dernier
baptême de famille chez les baptistes ?",186
