message,length
"Si  
Does St.Faustina have a serious argument for this?  
How would anyone know how angels would feel? It may not he a platitude, but it
seems like a projection of thé Saint's personal emotions to me.  
Not very convincing.  
Now instead of assertong that I don't understand it, why don't you come up
with something that shows you understand what you are claiming?  ",366
"@jmchugh  
  
As St. Dionysius the Areopagite beautifully wrote ""the being punished is not
an evil, but the becoming worthy of punishment; nor the being deservedly
expelled from Holy things, but the becoming accursed of God, and unholy and
unfit for things un-defiled."" (D.N. 4.22).  
  
God Almighty created nothing ""worthy of punishment"" or ""accursed"", and,
contrary to your claim, the only man that He created was Adam, who has been
redeemed by the New Adam. As St. John of Damascus wrote in Disputatio Saraceni
et Christiani:  
  
""I find nowhere in Scripture that after the first week of making the world God
formed or created anything. If he disputes this, then let him show you the
form or creation made by God after the first week. There is nothing to show.
All visible created things came to be in that week. God made man in the first
week. He ordered him to go forth and multiply. Since man was living with a
living seed, he sowed this seed in his wife. So he generated man, as the
Scripture says: 'Adam generated Seth. Seth generated Enos. Enos generated
Cainan. And Cainan generated Malaleel. Malaleel generated Jared. Jared
generated Enoch.' It does not say that God formed Seth or Enoch, or anyone
else. This we acknowledge, that only Adam was formed by God. All those after
him have and still are generated.""",1323
"RomanJoe! I haven't seen you online in a while. I hope things in life go well.
Have you gotten more light on the effect of the gray rain curtain? lol rock
on, bro.",163
"@Walter. Of course he could make creatures that don’t suffer. However He is
creating creatures that will participate in the trinity. That may seem like a
cheap thing to you, but it’s an inexpressible, inconceivable thing. We’re not
talking about having a very powerful magician living in your house. This is
about finite creatures partaking in the eternal, the very ground of being
itself.  
  
Maybe if you were God, you would ‘click your fingers’ and have an instant
ready made family of robots that have no choice but to do your will, and agree
with you about everything?  
  
It always baffles me that people presume so much about how God should be, and
what He should do, if only he was as wise and good as they are. Lucifer has
spread his original error widely.",767
"You should approach him with a picket sign saying ""G-d hates fags. Fags die
G-d laughs""  
  
However, I never understood the logic of that protest. The opposite of love is
not hatred but indifference. Saying G-d hates you means that you're important
and He recognizes you, and that's just as good as love IMO.",309
"@Walter  
  
""No, suffering is not a necessary part of our creation unless your claim is
that the fall was necessary.  
The point of the Fall is that man and not God is responsible for the Fall, but
nobody can be responsible for a necessary truth. that would be like saying you
are responsible for why 1 + 1 = 2.""  
  
Hey man, just pointing that out:  
  
Simon claim at most is that the fall is necessary if there is rational
creatures. Ot is what St. Thomas would call necessary by suposition(i think).  
  
Since God could just not create rational creatures, the fall is not a
necessary truth even on Simon view*  
  
Knowing that, it seems that man could be responsable for the fall. if by ""the
fall was necessary"" we mean ""if humans exist them the fall has to happen"".  
  
  
*if it indeed is his view.",809
"In general we are governed by moral imbeciles. They need reminding of their
condition because their vanity takes lack of condemnation for approval.",147
"Simon  
  
It always baffles me to see how people can claim on one hand that God can do
absurd things like making thing from nothing while ex nihilo nihil fit, can be
a motionless locomotive and pull a train or can be simp;e and three at the
same time, but on the other hand cannot create creatures who do not suffer.  
""Evolution"" in and out of itself does not entail the necessity of suffering at
all.",403
"Besides, if God made and sustains every created nature, some misunderstand
this to mean that God is also the author of the so-called ""natural evil""
(although according to the Christian understanding evil is contrary to nature
and thus ""unnatural"") or fancy that everything that happens in the world is
""the work of God"", as if secondary causes (i.e. the natures themselves, with
their proper activities and limitations) did not exist.",434
"@jmchugh:  
  
""But that is only true if we assume that the only alternative is your view of
what happened or my non-existence.""  
  
You neither have disputed any of my arguments nor presented any ""alternative""
to anything whatsoever, so I do not know what you mean here. To recap: Satan
rebelled, the fall happened. Did they had horrific consequences? Sure enough.
Did something good happened because of it that would not have happened
otherwise? Definitely yes, namely, you and I are here. More importantly, the
incarnation and the resurrection and the Blessed Virgin mother and the whole
redemption story. This pretty much sums up my rejoinder.  
  
""My question been about the logic of Christian theodicy. For example why did
God create Satan if he knew that this devil would lead a rebellion with such
horrific consequences?""  
  
I do not know what you mean by ""Christian theodicy""; as far as the question
itself, yes I did answered. On the other hand, if you mean something like
finding a *moral justification* for God's actions, you are correct that I did
not do, and I hasten to add that I will *not* do it, because in my view that
is a meaningless question and a reading of the book of Job should cure one of
such attempts.  
  
""My suggestion is not my non-existence as being preferable but rather that
your view of what happened is incorrect because it is implausible.""  
  
Now you gesture vaguely that there is some ""alternative"", but you have not
presented such; I do not dispute that God could have created other worlds (in
the sense of an entire universe with a different history altogether), worlds
where the fall did not happen or Satan qua Satan does not exist. What I did
and do dispute is that such an alternative world is better, or even better in
some qualified sense. (1) We cannot possibly ascertain such things, because we
have neither the criteria nor the knowledge. (2) Good things happened because
of the rebellion and the fall happened, good things that would not have
happened otherwise and (3) preferring an alternative world where I do not
exist is incoherent, which is what the logic of your argument entails. You
have not shown or even so much as explained, where any of the three points is
wrong or how exactly is my view ""implausible"".",2274
"As this last remark indicates, the loss of worldly blessings – material goods,
reputation, friendships, health, livelihood, even life itself – is permitted
by God so that we might learn not to cling to these things at the expense of
the beatific vision, the value of which trumps all else. God thus only ever
permits suffering not in spite of his goodness, but rather precisely because
of his goodness. As Augustine says, there isn’t “any evil [that] happens to
the faithful and godly which cannot be turned to profit,” so that, with St.
Paul, “we know that all things work together for good to them that love God”
(Romans 8:28).",629
"Simon  
  
No, suffering is not a necessary part of our creation unless your claim is
that the fall was necessary.  
The point of the Fall is that man and not God is responsible for the Fall, but
nobody can be responisble for a necessary truth. that would be like saying you
are responsible for why 1 + 1 = 2.",309
"@grodrigues  
  
Thank you for your reply. I wouldn't ask the devil what he thinks as he is the
apotheosis of evil. But now that you mention it, why did God create Satan in
the first place knowing full well what he would do? There is no way that you
could argue that the actual existence of Satan is a positive good.  
  
Now, as to us mortals you set-up a false dichotomy. You suggest that either we
accept the traditional notion of the fall and its consequences, or that we
accept the non-existence of man.  
  
But there are more options than that. For we could accept for example
universal salvation, annihilationism, or reincarnation.  ",641
"Many today labor under the delusion that the reality of suffering is a
difficulty for Christianity – as if Christian doctrine would lead us to expect
little or no suffering, so that its adherents should be flummoxed by
suffering’s prevalence. As I have discussed in previous articles, this is the
reverse of the truth. The Catholic faith teaches that suffering [is the
inexorable consequence](https://edwardfeser.blogspot.com/2021/09/the-first-
world-problem-of-evil.html) of original sin and past actual sin. [It is an
essential part](https://edwardfeser.blogspot.com/2022/05/nietzsche-and-christ-
on-suffering.html) of the long and painful process of sanctification, of
overcoming sinful habits of thought and action. It is the inevitable
concomitant of the persecution Christians must face for preaching the Gospel
and condemning the world’s wickedness. It is an inescapable punishment for
sin, which we must embrace in a penitential spirit. By way of suffering we pay
both our own temporal debt and that of others for whom we might offer up our
suffering. By way of it we most closely unite ourselves to Christ’s Passion.
The extent and depth of human suffering thus _confirms_ rather than
disconfirms the claims of Christianity.",1233
"@Walter. I didn’t see your reply here, but you really don’t understand at all.
If you did, you would understand why Saint Faustina said this;  
  
“If the angels were capable of envy, they would envy us for two things: one is
the receiving of Holy Communion, and the other is suffering.”  
  
Angels have immense power and knowledge given directly in their creation. But
when St Faustina says this it’s not meaningless platitudes. It’s at the heart
of what you cannot see.",472
"@rodrigues  
  
If I have not presented plausible alternatives that is because I lack your
certainty. You are absolutely certain that your religion's story of the
creation and fall is true. I hold no such certainty.  
  
But I do reserve the right to question. If someone comes up to me and says
""your suffering is caused by X"" and I ask for details and the apologist
responds ""Well what's the alternative, your non-existence?"" I would find that
a curious and non-rational answer.  
  
Let me say more: A judge tells me that I must do penance for an alleged crime
my great grandfather did. And the judge tells me this crime would never have
happened without his, the judge's, intervention.  
  
I immediately would have two questions. Why am I responsible for my great-
grandfather's crime? And two, why on earth did you Mr. Judge, put me in this
untenable situation in the first place?  
  
These are rational questions to put to the judge. Yes?",946
"Indeed  
And the sexual sins of contraception have actually reduced the number of
abortions. If there is no conception, God cannot abort ""unborn babies"" and
many abortions are, in fact, the work of God.  
During the Middle Ages, lots of pregnancies ended in ""spontaneous"" abortions
and miscarriages. But I suppose the fact that God performed them makes them
good things.  
Not ot mention the countless number of children who died because there simply
were too many mouth to feed.  
Those were the great days when there was so much less ""sexual sin"".",549
"In chapter 8, Augustine notes that while there is in this life _some_
connection between evildoing and suffering on the one hand, and righteousness
and blessings on the other, it is very far from tight. The wicked enjoy many
good things, while the good suffer much misfortune. To be sure, this will be
redressed in the afterlife, when the good will be rewarded with eternal
happiness and the wicked with eternal torment. “But as for the good things of
this life, and its ills,” Augustine writes, “God has willed that these should
be common to both; that we might not too eagerly covet the things which wicked
men are seen equally to enjoy, nor shrink with an unseemly fear from the ills
which even good men often suffer.”",721
"@Cont)  
  
""So, Quark the Ferengi Bartender is a fictional character, but, if we take
your view, He will actually exist some day, because, existing badly is better
than not existing""  
  
At most this would require believe in a type of multiverse, hardly a thing
considered insane nowdays.  
  
But i dont think that this point of yours works. One can suppose that God was
interessed on a qualitative maximization of goodness, so He created all
possible categories of goodness, incluiding corruptive sensible beings like
cats and birds. A quantitative maximization, creating all possible beings, was
not choosen likely for being not necessary, i really have no way of knowing
here. Remember aways that i dont think that there is a best of all possible
worlds, there is away a better, so trying to create one with ALL possible
beings would be dumb.  
  
""Notive also how Jesus says that it would have been better for them if they
hadn't been born.""  
  
Pulling a Aquinas here, one can suggest two options:  
  
1\. Hyperbole. This is the Parables Guy after all.  
  
2\. He only meant that Judas would being better of dying on the womb, before
choosing to betrayal God.  
  
Pick the better one and continue reading, my boy.  
  
  
""On a final note, it is not a christian view that God has the right to kill
just because he is God.""  
  
Abraaham and Isaac, you know. There are a few church fathers that would agree
with you, sure, but that is about it.  
  
Anyway, it seems to me that the whole disagreement is on the worth of beings
that can suffer. Like most people that opposed the gnostics, i argue that
beings that do suffer are worth existing and you, having very diferent
metaphysics, do not.  
  
Anyway, the discussion is sure being helpful, allowing to see the issue more
clearly and also with diferent eyes.",1822
