message,length
"[ ![Is God the Best Explanation of Things? A Dialogue is Now
Out!](http://3.bp.blogspot.com/-RUJygo9ZI5s/XZKz9ZN1-tI/AAAAAAAA3BY/WcfmwPogtPIR7fHT1fgwSJxfTIiHQ_72ACK4BGAYYCw/s1600/Book%2BCover%2BIGtBEoT.png)
](https://www.amazon.com/God-Best-Explanation-Things-
Dialogue/dp/3030237540/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=)  ",331
"...which is also the winner of the 2022 APA Journal of Value Inquiry Prize ,
is now out , Here's the abstract to whet your appetite: Re...",138
"> Recent divine command theorists make a serious and impressive case that a
> sophisticated divine command theory has significant metaethical advantages
> and can adequately meet traditional objections, such as the Euthyphro
> problem. I survey the attempt sympathetically with a view to explaining how
> the divine command theory can deal with traditional objections while
> delivering on metaethical desiderata, such as providing an account of
> ethical objectivity. I argue, however, that to the extent that a divine
> command theory succeeds, an ideal observer theory can do equally well. Once
> the divine command theory is rendered immune to Euthyphro-related
> objections, we will have all the machinery needed to show that an ideal
> observer theory can provide the same metaethical advantages, without
> supposing the existence of a divine commander. Other things being equal,
> ontological simplicity favors the ideal observer theory.",944
"...which is also the winner of the 2022 APA _Journal of Value Inquiry Prize_ ,
is [now
out](https://link.springer.com/epdf/10.1007/s10790-022-09923-4?sharing_token=p2T6MdSzb98s7mstuXzD-
_e4RwlQNchNByi7wbcMAY4omGVWt-
pCQNjoExd_SvtXgEGj3c1y8EGlTK0h-fNtRreLiTwaWdNqAS6X-S_oF3xd-
noZTAYHdShTSmiCbQnE32IQjXjIl63VUcSbd8gnXCun5qLLIPb_mRTlLgGzq_o%3D), Here's the
abstract to whet your appetite:",386
"Excited to see that Eric Steinhart's book, _[Atheistic Platonism: A
Manifesto](https://www.amazon.com/dp/3031177517/)_ is now out with Palgrave
MacMillan. Here's the blurb to whet your appetite:",194
"> Atheistic Platonism is an alternative to both theism and nihilistic atheism.
> It shows how any jobs allegedly done by God are better done by impersonal
> Platonic objects. Without Platonic objects, atheism degenerates into an
> illogical nihilism. Atheistic Platonism instead provides reality with
> foundations that are eternal, necessary, rational, beautiful, and utterly
> mindless. It argues for a plenitude of mathematical objects, and an infinite
> plurality of possible universes. It provides mindless rational grounds for
> objective values, and for objective moral laws for the persons who evolve in
> universes. It defines a meaningful way of life, which facilitates self-
> improvement. Atheistic Platonists argue for computational theories of life
> after death. Atheistic Platonism includes a rich system of spiritual
> symbols. It values transformational practices and ecstatic experiences.
> Where atheisms based on materialism fail, atheisms based on Platonism
> succeed.",990
"Here’s an another argument to add to [the
list](https://exapologist.blogspot.com/2022/06/120-or-so-arguments-for-
atheism.html). It proceeds from a principle about absences that several able
philosophers defend (E.g., Kris McDaniel):",233
"Suppose the principle is true. Now go to a possible world in which God
refrains from creating (assume, as traditional theism does, that God has
leeway freedom in creating). In that world, there are contingent things
uncreated by God (namely, absences of creatures). But according to traditional
theism's aseity-sovereignty doctrine, there can be no contingent things that
are not created by God. Therefore, traditional theism is false.",435
"Smilansky, Saul. ""[Reversing Pascal's Wager: Scepticism About Religious Belief
and Its Value](https://philpapers.org/rec/SMIRPS-2)"", _Religious Studies_
(forthcoming).",167
"Pascal famously argued that practical reasoning should lead people to try to
form within themselves a commitment to religious practice and obedience, based
upon a belief in God. I propose to take a less ambitious argument, which I
call the Sensible Argument, and use it to present The Puzzle. I argue that
there is a huge puzzle here, about the radical dissonance between the beliefs
and practices of many of the purportedly religious. There are, I will argue,
good reasons to doubt, concerning many (clearly not all or indeed most)
purported religious believers, whether they are indeed believers, or at least
whether their beliefs are strong; and religion seems to greatly increase the
risks of deception, duplicity, and hypocrisy, as well as self-deception and
inauthenticity. By turning towards a religious form of life, one will
therefore be adding great morality-related risks. Arguably, if there is a God
who deeply cares about individual moral behaviour, he would punish religious
moral transgressors more than the secular ones. One is unlikely to be saved
from hell (or other severe divine punishment) by becoming religious. If one is
going to wager, it seems much more sensible to wager on the secular side.",1217
