message,length
"I’ll end with this. While your loved ones are here, hug them, let them know
you love them, try to put into words why you value them so much. Belief in the
afterlife is a lofty expectation that regrettably will not be met with a
loftier disappointment. “Better the hard truth, I say, than the comforting
fantasy.”",312
"This will likely be as close as it gets to a personal post from me. I recently
tested positive for COVID-19. At the moment, I do not know whether I am still
positive. I will be getting another test on Wednesday. My hope is that I can
go back to business as usual. I need to work; bills have to be paid. My focus
here is a new argument yes, but it goes beyond that as we will see. Rather
than the string of symptoms I have encountered, I want to focus on the mental
aspects of my experience.",490
    * Already have a WordPress.com account? [Log in now.](https://wordpress.com/log-in?redirect_to=https%3A%2F%2Fnaturalistphilosophy.wordpress.com%2F2022%2F01%2F24%2Fa-new-argument-from-suffering-in-light-of-covid-19%2F&signup_flow=account),241
"My father, who passed away in 2017, although no longer the voice of my
conscience, is someone I think of often. I miss him dearly. His lessons still
weigh on me and not a day goes by without me thinking whether he would be
proud of the man I am today. One of the lessons that I consistently observe is
to not get in the habit of letting myopia set in. In other words, yes, I
tested positive and I am dealing with symptoms, on top of anxiety, loneliness,
and grappling with questions about my mortality; however, other people have
had it much worse. It is these people this argument has in mind.",594
"Then it dawned on me. For many people, including _Christians_ , this was their
exact experience. They were isolated at home, probably hoping to be better
within a few to several days; the Christians, no doubt, prayed to God for
healing, to keep them company in their time of isolation and loneliness. For
many of them, the prayers fell on deaf ears. Their symptoms got much worse,
many developing life-threatening pneumonia. They were rushed to ICUs and
intubated where they would spend more time away from their loved ones. The
lucky ones, got back to their families. The Christians, thankful to God, were
happy to be back with their families. But what of the people who had not
embraced their loved ones for a month and never regained consciousness? What
of the people who passed away? Where was God? Where was his comfort when they
prayed? Where was his omnipotent power, fully capable of delivering them from
a virus some of them did everything in their power to prevent? Why didn’t God
answer?",998
"I am not interested in formalizing this argument. I think the force of it is
stronger rhetorically, written informally for readers to take in and think
over. I think COVID-19, as Rieux in Camus’ _The Plague_ conveyed about the
Black Death, brings theism to its knees. A god that permits pandemics to take
so many lives indiscriminately, leaving so many other lives in peril after
such loss, either does not exist or is not the god theists so desperately want
to exist. This is not about whether atheists/naturalists have an ontologically
objective standard of evil because this argument does not focus on the
existence of evil. This argument focuses on suffering, specifically mental
health. If your beliefs are so biased that your first reaction is to change
the topic or overlook the suffering of fellow human beings, including some of
your own brethren, you may have to wonder whether you are a sociopath. Only a
person with a severe lack of empathy will overlook what the last two years has
looked like for our species as a whole. God is not powerful enough to replace
a loving father or mother, to replace a son or a daughter.",1131
"I can easily imagine waking up last Thursday morning at 3am to the same cold
sweat and terror I felt. Moreover, I can imagine the object of my terror
turning out to be my experience. My mind was racing. I asked, what if I get
pneumonia? What if I have to be intubated? What if there is an underlying
issue that will pull the rug from under me? In all of this, I could not turn
to a loved one. I needed a hug but could not get one. I needed someone to sit
close to me and help me relax. Turning to a loved one at this time would put
them at risk, so I had no such option.",570
"We are on our own. If God existed, the extent of periods of isolation,
loneliness, depression, anxiety, in addition to having horrible symptoms (in
my case, losing most of my sense of smell, a fever, congestion, a loss of
taste), would not be necessary to help us relate to others, i.e., soul-making
theodicy. For human beings, the thoughts alone are horrifying enough. For a
parent, to die too soon, to not see their children become adults, to not dance
with their daughter at her Sweet 16, to not walk her down the aisle, to not
attend their son’s next baseball game, and so on, the mere thoughts are
terrifying enough. The thought of my absence in their life sends shivers down
my spine. I do not need to experience the reality of it; I do not need to
develop life-threatening symptoms and to settle on my life likely being over.
More importantly, my children do not need to experience a reality in where I
am dead. They do not need to see me in a suit, hands folded over my stomach,
lifeless in an open casket that cost the people who survived me x amount of
hundreds or thousands. They do not need to see me lowered into the ground.",1137
"****You are commenting using your WordPress.com account. ( [Log
Out](javascript:HighlanderComments.doExternalLogout\( 'wordpress' \);) /
Change )",145
"****You are commenting using your Twitter account. ( [Log
Out](javascript:HighlanderComments.doExternalLogout\( 'twitter' \);) / Change
)",137
