message,length
"Maxime est étudiant en médecine à Lille. Fondateur du blog Parlafoi.fr, il se
passionne pour la théologie systématique, l'histoire du dogme et la
philosophie réaliste. Vous entendrez souvent dans sa bouche ""Thomas d'Aquin"",
""Jean Calvin"" et ""Vive la scolastique"". Il affirme être marié à la meilleure
épouse du monde. Ils vivent ensemble sur Lille avec leurs deux enfants et sont
moniteurs de la méthode Billings.",413
"Des recherches récentes suggèrent cependant que la « scolastique »,
lorsqu’elle est bien définie, avec toutes ses nuances historiques et
contextuelles, faisait partie intégrante des époques de la Réforme et de
l’après-Réforme jusqu’au milieu du XVIIIe siècle, où elle a commencé à perdre
sa place en théologie – même en théologie réformée. Son influence et sa place
dans la Réforme et ses suites ne peuvent pas être petites si l’on considère
les sources de connaissance dont disposaient les Réformateurs et leurs
héritiers.",523
"Peu de mots dans les milieux chrétiens évoquent autant de malentendus que
celui de « scolastique ». Le « philosopherisme » aristotélicien rigide et
rationaliste, aussi connu sous le nom de « scolastique », serait entré dans
l’Église à divers moments de l’histoire de l’Église (c’est-à-dire au Moyen Âge
et après la Réforme), et la pure clarté biblique des Pères de l’Église et des
Réformateurs aurait été éclipsée. Si Calvin, dit-on, a aidé à libérer l’église
des chaînes de la scolastique médiévale – celle de Lombard, de Thomas D’Aquin,
de Scot, etc. – De Bèze et d’autres après Calvin n’ont fait que défaire tout
le bon travail accompli par Calvin et les réformateurs précédents. Voici un
résumé grossier, quoiqu’un peu exact, de la façon dont on nous présente
souvent les choses. C’est cette conception de l’histoire qui est à l’origine
de la vieille historiographie « [Calvin contre les
calvinistes](https://parlafoi.fr/2018/03/08/calvin-etait-il-calviniste-
richard-a-muller/)« , aujourd’hui définitivement réduite au silence par les
chercheurs depuis une trentaine d’années.",1081
  1. [Qu’est-ce que la Scolastique Protestante ? – Sommaire – PAR LA FOI](https://parlafoiblog.wordpress.com/2018/09/29/quest-ce-que-la-scolastique-protestante-sommaire/) \- […] Un gros mot théologique ? […],207
"Cet article est traduit dans le cadre de notre partenariat avec The Calvinist
International. Ce n’est que la partie 1, d’autres articles sont donc à suivre
!",157
"Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont
indiqués avec *",86
"Bref, la théologie réformée n’est pas seulement la théologie catholique
réformée ou la théologie confessionnelle réformée, mais elle est aussi la
théologie scolastique réformée. Même ceux qui, dans la tradition réformée
d’aujourd’hui, souhaitent éviter l’étiquette « scolastique » ne savent
probablement pas à quel point ils sont redevables à la scolastique et aussi à
quel point (peut-être involontairement) leur théologie reste scolastique.",442
"[1] L.M. de Rijk, _Middeleeuwse wijsbegeerte: Traditie en vernieuwing_ , 2nd
ed. (Assen: Van Corcum, 1988), 111. Traduction d’une citation en Néerlandais
par Dolfe Te Velde.  
[2] Willem J. van Asselt, _Introduction to Reformed Scholasticism_ (Grand
Rapids: RHB, 2011), 99.  
[3] _Ibid.,_ 109.  ",295
"Comme le note Willem van Asselt, « presque tous les théologiens réformés
dignes de mention ont écrit une réfutation de Bellarmin, dont le _Bellarmin
Rendu impuissant_ de William Ames (Bellarminus enervates, 1626) est devenu le
plus célèbre. L’attaque réalisée par Bellarmin était de nature scolastique, et
pour le contrer, lui et d’autres théologiens catholiques romains polémiques,
il était nécessaire d’utiliser le même appareil : la scolastique. »[3] Bien
sûr, les réformés auraient pu adopter un biblicisme plutôt simpliste – criant,
« nous laissons la Bible parler d’elle-même » – mais cela n’aurait convaincu
personne, même si peut-être les Sociniens auraient été impressionnés d’avoir
de tels alliés quant à la méthode !",727
"Souvent, les gens ont cru que le mot » scolastique » se référait au contenu, à
certaines croyances, mais ce n’est pas du tout le cas. En général, la
scolastique se réfère à une méthode particulière. Il y a peut-être un peu de
vérité dans le fait que la méthode a un impact sur le contenu, mais
généralement la méthode n’affecte pas le contenu, sinon les catholiques
romains, les luthériens et les théologiens réformés arriveraient tous aux
mêmes conclusions puisqu’ils ont essentiellement adopté la même méthode dans
leur théologie au milieu du 16e siècle et au 17e.",566
  1. [Qu’est-ce que la Scolastique Protestante ? – Sommaire – PAR LA FOI](https://parlafoiblog.wordpress.com/2018/09/29/quest-ce-que-la-scolastique-protestante-sommaire/) \- […] Définition […],192
"M. de Rijk définit la scolastique comme une « méthode appliquée en théologie
et en philosophie caractérisée par l’utilisation (pour l’enseignement et la
recherche) d’un système de concepts, distinctions, définitions, analyse
propositionnelle, techniques de raisonnement et de contestation ».[1] À un
niveau plus restreint, la scolastique inclut les « concepts, les distinctions
et les méthodes de raisonnement utilisés pour traiter un sujet particulier
».[2] Ainsi, en utilisant les concepts aristotéliciens (hérités d’Aristote),
les scolastiques ont utilisé des distinctions telles que la puissance et
l’acte. Ils ont également fait usage de la logique, y compris l’utilisation
célèbre du syllogisme. Les termes de l’ère patristique et du Moyen Âge ont été
transmis aux réformateurs et aux scolastiques protestants. Ces termes étaient
« monnaie courante » dans les discussions et les débats théologiques, mais
certainement pas gravés dans la pierre. Puisque la dynamique du débat
théologique a changé au cours du XVIe siècle, la théologie scolastique est
devenue plus dominante à la suite de phénomènes comme la Contre-Réforme menée
par le cardinal catholique romain Robert Bellarmin (1542-1621) et l’influence
croissante du Socinianisme et autres erreurs ou hérésies.",1269
"Scholasticus (signifiant « érudit » dans la culture romaine), signifiait une «
personne instruite » dans l’église médiévale. Mais le mot « scolastique » et
ses apparentés prennent toutes sortes de sens à l’époque de la Réforme.
Habituellement, le contexte aide à discerner l’intention de l’auteur lorsqu’il
fait référence à un « scolastique ».",343
"  
[1] Willem J. van Asselt, _Introduction to Reformed Scholasticism_ (Grand
Rapids: RHB, 2011), 133.",101
"Les attaques catholiques romaines contre les revendications des réformateurs
pleuvant sur les Églises protestantes, les réponses des réformés devaient être
bien faites. En conséquence, les scolastiques réformés ont prouvé dans leurs
écrits qu’ils avaient maîtrisé les Pères de l’Église primitive, qu’ils avaient
une connaissance encyclopédique de la théologie médiévale et qu’ils pouvaient
exégéter les Écritures selon des principes sains d’interprétation. Calvin
avait certainement une mémoire formidable, mais même lui pouvait de temps en
temps mal citer les Pères. Les idées des réformateurs n’ont été ni rejetées ni
remplacées d’aucune façon, mais les scolastiques réformés ont développé leur
théologie avec plus de précision en adoptant le vocabulaire philosophique de
leurs prédécesseurs depuis l’Église primitive. Les confessions de cette époque
sont des confessions catholiques, mais distinctement réformées dans la mesure
où elles révèlent le fossé qui ne cesse de se creuser non seulement entre
l’Église de Rome, mais aussi entre les réformés et les luthériens. C’était
quelque chose que Calvin avait passé du temps à essayer d’éviter, mais
finalement l’impasse n’allait jamais être surmontée entre ces deux grands
groupes protestants.",1245
"La scolastique réformée se réfère à la période de l’orthodoxie des années
1560-1750. Au cours de cette période, nous avons : 1) Orthodoxie primitive
(vers 1560-1620) ; 2) Haute orthodoxie (vers 1620-1700) ; et 3) Orthodoxie
tardive (vers 1700-1750). Ces dates sont, bien sûr, donnée à titre indicatif,
comme si nous passions brutalement d’une période à l’autre. Mais elles nous
donnent des époques qui reflètent le climat changeant du discours théologique
dû aux événements incroyables précipités par la Réforme.",512
  1. [Qu’est-ce que la Scolastique Protestante ? – Sommaire – PAR LA FOI](https://parlafoiblog.wordpress.com/2018/09/29/quest-ce-que-la-scolastique-protestante-sommaire/) \- […] Histoire de l’orthodoxie protestante […],218
"La Haute orthodoxie commence à l’époque du Synode de Dort (1618-19). Dort est
le premier et le seul synode véritablement international. Ce document
confessionnel met également en lumière une autre lacune du protestantisme :
les différences émergentes entre les Remonstrants (« Arminiens ») et les
théologiens orthodoxes réformés, connus sous le nom de contre-Remonstrants
dans ce contexte. Après Dort, au lieu d’un flot continu de documents
confessionnels – à noter cependant le contexte britannique impliquant les
théologiens de Westminster dans les années 1640 – nous voyons un nombre
croissant d’ouvrages dogmatiques complets, « dans lesquels les résultats des
exégèses, formulations dogmatiques, éléments polémiques et expositions des
implications pratiques de la doctrine étaient combinés dans un tout imposant.
La scolastique de la haute orthodoxie se caractérisait ainsi par une précision
croissante dans son appareil théologique. »[1]",942
"Dans la période de l’orthodoxie primitive, les réformés étaient généralement
dans une période de confessionnalisation et de codification. L’unité était au
premier plan dans l’esprit des réformateurs et de leurs successeurs. Les
documents confessionnels étaient un moyen d’établir l’unité au fur et à mesure
que les églises protestantes étaient construites. Les théologiens réformés ont
commenté les crédos œcuméniques, tels que le Credo des Apôtres, tentant ainsi
de prouver leur catholicité. Des documents confessionnels tels que la
Confession Gallicane (1559), la Confession Belge (1561) et le [Catéchisme de
Heidelberg](https://parlafoi.fr/2018/01/10/le-catechisme-de-heidelberg/)
(1563) n’étaient que quelques-unes des dizaines et dizaines de confessions
écrites à l’époque de l’Orthodoxie primitive (note : vous pouvez consulter
plusieurs de ces Confessions [ICI](https://parlafoi.fr/conciles-et-
confessions/)).",917
"L’Orthodoxie tardive a vu l’effilochage d’une grande partie du bon travail
accompli par les théologiens réformés. Pourquoi cela ? En partie parce que la
méthode scolastique, dont nous parlerons plus en détail plus loin, a été
laissée de côté, mais aussi un certain nombre de points de vue philosophiques
(cartésianisme, pensée leibnizienne, Wolffianisme et philosophie des Lumières)
se sont liés ensemble à la pensée réformée. Les académies ont également vu un
changement dans leur approche de la théologie. Les Lumières amenèrent avec
elles des courants théologiques et philosophiques changeants, et les bastions
de l’orthodoxie réformée devinrent rapidement des bastions de l’hérésie.  ",688
"Dort rejeta les points de discorde des Remonstrants, mais la controverse était
loin d’être terminée. La position confessionnelle de Dort devait être défendue
au milieu de l’assaut continu des « Arminiens » et de la montée en puissance
de leurs proches cousins, les Sociniens. C’est ainsi que les positions
réformées complexes et défendues de manière élaborée ont été reprises par
[Francis Turretin](https://parlafoi.fr/2018/07/12/de-quel-droit-les-
reformateurs-pouvaient-ils-reformer-leglise-francois-turretin-1623-87/),
Petrus van Mastricht et Gisbertus Voetius, entre autres. Suivant les traces
d’Amandus Polanus, qui a écrit sa très célèbre Syntagma theologiae christianae
(1609), ces théologiens ont écrit des systèmes de doctrine qui continuent
d’influencer les théologiens réformés jusqu’à ce jour. Leur méthode était la
méthode scolastique, ce qui signifie que nous sommes aujourd’hui très
redevables à ces scolastiques réformés pour leur travail à l’époque de la
haute orthodoxie. Tout lecteur anglais qui possède l’œuvre de Charles Hodge ou
de Louis Berkhof a en sa possession un texte scolastique réformé, même si les
traitements de Hodge et de Berkhof sont considérablement moins savants que les
théologiens mentionnés ci-dessus.",1241
"Non seulement les universités, mais aussi les académies réformées, liées aux
Eglises, étaient des viviers pour les scolastiques réformés. Les étudiants ont
souvent voyagé pour trouver les meilleurs professeurs dans ces académies.
Peut-être l’académie la plus célèbre était à Genève où Théodore De Bèze
enseignait. Caspar Olevianus, Franciscus Junius et Jacob Arminius ont tous
fréquenté l’académie de Genève et ont reçu une éducation scolastique réformée
approfondie. Ces deux derniers ont fini à l’Université de Leyde, avec Arminius
satisfaisant ses examinateurs réformés sur des sujets comme le pactum salutis.
Au moment de la mort de Calvin, plus de trois cents étudiants étaient inscrits
à l’académie de Genève, dont quatre-vingt pour cent venaient de l’extérieur de
Genève.[4] Des académies réformées ont été créées en Allemagne, en Angleterre,
en Écosse, en France et aux Pays-Bas. Puisque presque tous les grands travaux
théologiques de l’époque étaient écrits en latin, nous ignorons aujourd’hui en
grande partie la somme impressionnante de connaissance qui est sortie de ces
académies (note : une bonne raison de se mettre au latin 😉 !).",1146
"La théologie réformée possédait beaucoup de centres d’éducation qui étaient
chargés de former les théologiens. Comme le fait remarquer Muller, « le
développement de l’orthodoxie scolastique réformée se trouve en grande partie
dans la culture intellectuelle des académies et universités protestantes qui
prospéraient alors ».[1] Dans ce contexte académique, nous trouvions un
phénomène historique complémentaire et non pas opposé : l’humanisme. Comme
l’explique Dolf Te Velde, « les mouvements apparemment opposés, intitulés «
humanisme » et « scolastique », ont puisé dans les mêmes ressources et se sont
heurtés aux mêmes questions méthodologiques et substantielles, leur donnant un
terrain d’entente ».[2]",707
"Par le passé, les universitaires ont essayé de faire de la scolastique et de
l’humanisme des ennemis, et non des amis : Calvin l’humaniste contre De Bèze
le scolastique. Cependant, l’humanisme chrétien n’est pas du tout un ennemi
des méthodes scolastique médiévales. Ils ont coexisté pacifiquement dans de
nombreuses universités à l’époque de la Réforme. En effet, la capacité
d’utiliser la langue (le latin et le grec classique) ne peut qu’aider les
scolastiques réformés, dont certains se réunissent (autour d’un café !) pour
discuter de théologie en grec classique plutôt que dans leur langue maternelle
(par exemple, le néerlandais) ou en latin (leur seconde langue).",671
