message,length
"_Cet article est la première partie d’une série de traduction d’un article de
Keith A. Mathison originalement publié
sur[Tabletalkmagazine.com](https://tabletalkmagazine.com/posts/christianity-
and-van-tillianism-2019-08/).  
Les autres articles de la série seront disponibles
[ici](https://parlafoi.fr/le-presuppositionnalisme/). _",332
"Tout au long de son ministère, le Dr R.C. Sproul a critiqué avec bienveillance
le présuppositionnalisme de Cornelius Van Til. Quand je dis que le Dr Sproul
était un critique « amical », je veux dire qu’il a reconnu que Van Til et ceux
qui se considèrent « Van Tilliens » dans leur approche à l’apologétique, ou la
défense de la foi, sont des frères en Christ. Dans sa jeunesse, le Dr Sproul a
passé du temps avec Van Til, et par la suite, il a toujours dit que Van Til
était un homme de Dieu. Beaucoup d’autres ont dit la même chose de Van Til, et
il n’y a aucune raison de douter de leurs jugements. Le Dr Sproul admirait le
caractère chrétien de Van Til, mais il a cependant critiqué certains points de
son enseignement. Il estimait que la doctrine de Van Til contenait de graves
erreurs et incompréhensions1. Je pense que le Dr Sproul avait certainement
raison aussi bien dans son évaluation du caractère de Van Til que dans son
attention à noter les défauts de la pensée de Van Til. Cet article est une
tentative de poursuivre l’héritage de la « critique bienveillante » de M.
Sproul à l’égard des opinions de Van Til.",1122
"On pourrait se demander pourquoi il est nécessaire de continuer cette
critique. Beaucoup de chrétiens trouvent le débat en cours sur Van Til et le
présuppositionnalisme ennuyeux, voire inutile. C’est compréhensible. Le débat
se poursuit depuis environ soixante-dix ans, et il semble que peu de personnes
des deux côtés ont été persuadées. Si aucun des deux camps ne peut être
persuadé, et si ceux des deux côtés du débat considèrent ceux de l’autre côté
comme des frères en Christ, pourquoi ne pas simplement accepter d’être en
désaccord et passer à autre chose ? Une telle approche est tentante, mais elle
ne rend pas justice à l’importance des enjeux. En fait, elle ne rend pas
justice à Van Til lui-même. Van Til croyait que le sujet de son enseignement
était de la plus haute importance, et il y a consacré toute sa vie. Nous ne
pouvons respecter ses travaux théologiques qu’en les prenant au sérieux et en
les considérant attentivement. Van Til a lui-même dit que le bien-fondé de son
approche devrait être « jugé sur ses mérites », et c’est ce que j’ai cherché à
faire dans cet article2. Une autre raison pour laquelle la discussion et le
débat doivent continuer est le fait que la pensée de Van Til a eu une profonde
influence sur les Églises réformées aux États-Unis, et même dans le monde
entier. Si dans sa pensée se trouvent des erreurs significatives, alors les
effets de ces erreurs seront amplifiés en raison de son influence.",1440
"Ainsi, il est tout à fait justifié de poursuivre une réflexion critique
concernant l’enseignement de Cornelius Van Til, mais sur la route de cette
entreprise se dressent plusieurs obstacles qui doivent succinctement être
évoqués avant de pouvoir continuer. Tout d’abord, les concepts abordés par Van
Til sont par nature complexes. Il traite de questions profondes en
métaphysique, en épistémologie, en théologie systématique et plus encore. Le
style d’écriture unique de Van Til ne fait qu’aggraver ces problèmes. Mark
Garcia, lui-même partisan de la pensée de Van Til, parle de la « prose souvent
impénétrable et douloureuse » de Van Til3. Outre la prose douloureuse, Van Til
donne souvent à certains termes théologiques et philosophiques des définitions
inédites. Garcia parle de cette « utilisation révisionniste parfois
exaspérante du vocabulaire4. »",854
"Un autre facteur qui augmente la difficulté de compréhension des écrits de Van
Til est lié à la nature de sa formation philosophique. Elle s’est produite
dans le contexte de l’idéalisme philosophique. Van Til souhaitait s’adresser à
ceux qui avaient été éduqués dans le même contexte philosophique. Il
cherchait, en quelque sorte, à parler leur langue, et ainsi il empruntait et
adaptait souvent une terminologie kantienne et idéaliste (par exemple, «
concept limitant » et « universel concret »)5. Le problème est que cette
terminologie est peu connue des chrétiens du début du XXIe siècle, rendant
l’interprétation de l’œuvre de Van Til plus difficile encore. Nous reviendrons
sur cette question plus loin.",708
"Le style d’écriture de Van Til et son utilisation idiosyncrasique d’une
terminologie philosophique obscure ne sont pas les seuls obstacles faisant
face à une évaluation attentive et critique de sa pensée. D’autres obstacles
sont apparus en raison du débat qui perdure sur l’enseignement de Van Til.
Certains Van Tilliens, par exemple, pensent que les critiques de Van Til n’ont
jamais vraiment compris Van Til. John Frame, par exemple, dit que les
critiques de Van Til « semblent toujours passer à côté de ce qui est évident6.
» Cela est vrai dans une certaine mesure, et signifie que les défenseurs de la
pensée de Van Til ont dû passer beaucoup de temps à corriger des
interprétations erronées7.",697
"Il est bien sûr possible de mal interpréter et de mal comprendre Van Til, et
cela n’est pas seulement vrai pour les critiques. Il y a des divergences
d’opinion sur la façon d’interpréter et de mettre en pratique sa pensée, au
sein même des écoles Van Tilliennes8. Cela ne devrait pas être une surprise.
Il y a des désaccords sur la façon d’interpréter presque tous les théologiens
importants de l’histoire de l’Église, et Van Til ne fait pas exception. Je me
rends compte que moi aussi, je suis susceptible de mal comprendre un ou
plusieurs aspects de la pensée de Van Til, mais j’ai fait tout mon possible
pour le lire non seulement de manière critique, mais aussi avec circonspection
et bienveillance. Si je comprends ou représente mal la pensée de Van Til à un
moment ou à un autre dans cette critique, j’encourage la rectification.",835
"Un autre obstacle de taille est que certains chrétiens réformés ont une
extrême méfiance et un scepticisme particulier à l’égard de toute réflexion
critique sur la pensée de Van Til. Van Til croyait et enseignait que son point
de vue est la seule approche philosophique et apologétique qui soit vraiment
chrétienne et réformée, et que ceux qui n’étaient pas d’accord avec lui
avaient des opinions qui compromettent avec les pensées du paganisme, de Rome
ou de l’arminianisme9. Ces allégations sont aussi monnaie courante dans les
écrits académiques et populaires de ses défenseurs10. Ces revendications ont
parfois deux effets étroitement associés. Premièrement, ils peuvent amener, et
ont amené, certains partisans de Van Til à considérer toute critique de son
enseignement comme provenant de sources corrompues, et donc peu fiables.
Deuxièmement, ils peuvent amener, et ont amené, certains disciples de Van Til
à le traiter presque comme s’il était au-delà de la critique11. Lorsqu’une
telle attitude est adoptée, c’est presque garanti qu’une réflexion sérieuse et
critique sera balayée d’un revers de main.",1109
"Bien qu’il y ait des obstacles, les questions abordées par Cornelius Van Til
sont extrêmement importantes dans la théologie chrétienne. Une réflexion dans
la prière sur l’approche de Van Til est l’occasion de réfléchir sur son œuvre
afin d’arriver à une vision biblique la plus cohérente possible. Un tel effort
est forcément précieux, quelle que soit l’évaluation que l’on fait des
enseignements de Van Til. J’espère que les partisans et les opposants des
enseignements de Van Til partagent le but de conformer leur pensée et leur
enseignement aux Écritures. Nous cherchons tous à être de fidèles disciples de
Jésus-Christ. Je souhaite que les lecteurs qui sympathisent avec
l’enseignement de Van Til croient que cela s’applique aussi à ceux qui en sont
critiques.",765
"Une dernière remarque introductive. Les lecteurs qui sont déjà enclins à être
d’accord avec la critique des enseignements de Van Til pourraient être tentés
de répondre à ce que je dis ici par réflexe « Amen ». Pareillement, les
lecteurs qui sont déjà enclins à être d’accord avec les enseignements de Van
Til pourraient être tentés de répondre à ce que je dis ici par réflexe «
Anathème ». Cependant, des réponses non critiques et instinctives ne sont pas
utiles lorsque l’on considère des sujets théologiques difficiles et complexes.
Quelle que soit nos positions respectives dans ce débat, nous devrions
entendre et considérer les arguments des deux camps si nous ne l’avons pas
déjà fait (Proverbes 18:17). Van Til n’était pas infaillible, et moi non plus.
Ni ses défenseurs ni ses critiques ne sont infaillibles. Dieu seul est
infaillible. Il est impératif que nous examinions les mérites de
l’enseignement de Van Til ainsi que les mérites des arguments qui s’y
opposent, plutôt que d’avoir une attitude d’admirateur hébété12.",1030
"  1. Celles-ci sont abordées plus en détails par lui dans son livre co-écrit avec GERSTNER, John et LINDSLEY, Arthur, _Classical Apologetics_ , Grand Rapids, Mich. : Zondervan, 1984, p. 183–338.[↩]",197
"  2. VAN TIL, _The Defense of the Faith_ , 4e éd., p. 23–24. Je référencerai les œuvres de Van Til seulement par leur titre et page. Pratiquement tous ses ouvrages sont publiés par P&R Publishing Company.[↩]",207
"  3. GARCIA, Mark A., en préface de DENNISON, William, _In Defense of the Eschaton : Essays in Reformed Apologetics_ , BAIRD, James Douglas (éd.), Eugene, Ore. : Wipf & Stock, 2015, xv.[↩]",188
"  4. GARCIA, en préface de _In Defense of the Eschaton_ , xv.[↩]",64
"  5. VAN TIL, _The Defense of the Faith_ , 4e éd., p. 43. Voir aussi note de bas de page 2 à la page 43.[↩]",107
"  6. FRAME, John, _Cornelius Van Til: An Analysis of His Thought_ , Phillipsburg, N.J. : P&R, 1995, p. 5.[↩]",108
"  7. Par exemple, Richard Pratt a publié pour Third Millennium ministries un article en deux parties intitulé « Erreurs habituelles de compréhension de l’apologétique de Van Til ». Voir [ici](https://www.thirdmill.org/files/english/html/th/TH.h.Pratt.VanTil.1.html) et [ici](https://www.thirdmill.org/files/english/html/th/TH.h.Pratt.VanTil.2.html).[↩]",352
"  8. On voit par exemple de telles divergences de pensée entre Frame, Greg Bahnsen, et K. Scott Oliphint. Comparez les livres de FRAME, _Cornelius Van Til: An Analysis of His Thought_ , BAHNSEN, Greg, _Van Til’s Apologetics: Readings & Analysis_, Phillipsburg, N.J. : P&R, 1998 et OLIPHINT, K. Scott, _Covenantal Apologetics_ , Wheaton, Ill. : Crossway, 2013. John Muether fait remarquer que les disciples de Van Til ont « créé des versions concurrentes d’apologétique réformée » Voir MUETHER, _Cornelius Van Til: Reformed Apologist and Churchman_ , Phillipsburg, N.J. : P&R, 2008, p. 15.[↩]",591
"  9. VAN TIL, _Christian Apologetics_ , p. 100, p. 143, p. 159 ; _Survey of Christian Epistemology_ , p. 67 ; _Introduction to Systematic Theology_ , 2e éd., p. 100, 306–308.[↩]",177
"  10. Voir FRAME, _Cornelius Van Til: An Analysis of His Thought_ , p. 10–11 ; BAHNSEN, _Presuppositional Apologetics: Stated and Defended_ , Powder Springs, Ga. : American Vision, 2008, p. 4. Bahnsen a d’ailleurs indiqué autre part que tout autre vue que celle du présuppositionnalisme de Van Til équivaut à des tentatives immorales de rester intellectuellement neutre (BAHNSEN, _Always Ready: Directions for Defending the Faith_ , Atlanta : American Vision, 1996, p.7–90).[↩]",477
"  11. FRAME, _Cornelius Van Til: An Analysis of His Thought_ , p. 47. Frame nous aide en indiquant que Van Til n’était pas qu’un simple penseur mais aussi un « leader avec un mouvement derrière lui », si bien que toute critique « du leader et son mouvement n’est pas bien reçu par le mouvement »[↩]",298
"  12. J’encourage tous ceux qui sont impliqués dans le début sur les enseignements de Van Til de prendre le temps pour lire le livre de NEWTON, John, _Letter on Controversy_ disponible en ligne [ici](https://www.opc.org/nh.html?article_id=217).[↩]",247
"Enfant de Dieu, passionné par la théologie et la philosophie. S'il est enfant
de Dieu, c'est exclusivement en vertu des mérites de Jésus-Christ et de la
grâce de Dieu. Si Dieu le veut, il se fiancera bientôt !",209
"## [Une espérance en ces temps troublés — Timothy Keller —
Recension](https://parlafoi.fr/2022/10/25/une-esperance-en-ces-temps-troubles-
timothy-keller-recension/)",164
"Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont
indiqués avec *",86
"_Cet article est la deuxième partie d’une série de traduction d’un article de
Keith A. Mathison originalement publié
sur[Tabletalkmagazine.com](https://tabletalkmagazine.com/posts/christianity-
and-van-tillianism-2019-08/).  
Cliquez [ici](https://parlafoi.fr/le-presuppositionnalisme/) pour retrouver
les autres articles de cette série. _",339
