message,length
"Article de Étienne Omnès qui est le début d’une série exposant la Somme de
Théologie de Thomas D’Aquin. Ce livre, destiné à l’origine à la formation des
prêcheurs dominicains, reste aujourd’hui un chef d’oeuvre titanesque de la
théologie et de la métaphysique chrétienne, et reste un des livres
philosophiques les plus commentés, que ce soit par des chrétiens ou des non-
croyants, pour sa théologie proper ou pour son éthique. Nous commenterons
chaque semaine, question par question ou article par article (selon le sujet)
la position de Thomas d’Aquin sur le sujet, afin de faire découvrir au monde
évangélique toute la richesse de la théologie médiévale, qui est à bien des
égards un recours parfait face aux défaillances de notre propre théologie
contemporaine.",765
"La méthode scholastique qui se retrouve parfaitement chez Thomas d’Aquin
consiste avant tout à se poser des questions, puis de question en question
progresser dans la connaissance. Et quand on veut explorer le sujet de Dieu,
la toute première question à se poser est: que suis-je en train de faire?
Quelle est la nature de ce que je m’apprête à dire? Est ce que c’est utile?",374
"Thomas pose donc la question: « Qu’est ce que la doctrine sacrée? Quel est son
objet? » Il découpe ensuite en 10 articles, ou sous-questions:",141
"Mon objectif dans cet article est de vous présenter en une fois toute la
question 1 (je ne pourrais pas toujours commenter une question entière), en
démystifiant d’abord les questions, et éclairant autant que le Seigneur me
permettra les réponses.",247
"Après tout, il existe déjà la philosophie pour se poser la question de Dieu et
de ses attributs. Nous n’avons pas non plus besoin de théologie pour savoir
comment nous devons vivre et comment, par exemple, avoir un mariage réussi.
Considérant que la théologie chrétienne n’est pas l’étude d’un champ de savoir
foncièrement nouveau, il apparaît inutile de rajouter la théologie quand la
philosophie et les sciences sociales suffisent… Elle paraît superflue.",456
"Thomas défend alors l’idée que ce qui rend la théologie nécessaire n’est pas
son sujet ou sa méthode, mais son point de départ:",127
"> Il fut nécessaire pour le salut de l’homme qu’il y eût, en dehors des
> sciences philosophiques que scrute la raison humaine, **une doctrine
> procédant de la révélation divine.** – Summa Ia, Q1, a1",200
"Le but ultime de l’homme n’est pas situé en l’homme, mais au delà de lui, et
il faut donc qu’il lui soit révélé pour qu’il agisse en fonction.",142
"La révélation permet de rendre disponible au plus grand nombre un savoir vital
qui autrement, ne serait connu que d’une minorité de joyeux philosophes.",151
"Il n’y a pas de superfluité de la théologie quant aux autres domaines de
savoir: par exemple, la théologie du mariage ne rentre pas en concurrence ou
en superfluité avec la sociologie du mariage, parce que ce sont deux démarches
différentes sur un même objet, ce qui arrive couramment. Même en ce qui
concerne la connaissance de Dieu, la philosophie part de l’homme et ce qu’il
connaît pour décrire Dieu, quand la théologie part de la Révélation de Dieu
pour connaître Dieu. Comme ce sont des démarches différentes, il n’y a pas de
concurrence entre philosophie et théologie.",575
"> Une diversité de “ raisons ”, ou de points de vue, dans ce que l’on connaît,
> détermine une diversité de sciences. **Ainsi est-ce bien une même conclusion
> que démontrent l’astronome et le physicien, par exemple, que la terre est
> ronde ; mais le premier utilise à cette fin un moyen terme mathématique,
> c’est-à-dire abstrait de la matière, tandis que le second en emploie un qui
> s’y trouve impliqué**. **Rien n’empêche donc que les objets mêmes dont
> traitent les sciences philosophiques, selon qu’ils sont connaissables par la
> lumière de la raison naturelle, puissent encore être envisagés dans une
> autre science, selon qu’ils sont connus par la lumière de la révélation
> divine.** La théologie qui relève de la doctrine sacrée est donc d’un autre
> genre que celle qui est encore une partie de la philosophie.",827
"Ici on pose la question de l’objet de ce savoir: si ce savoir est une
révélation divine, faite une fois pour toute, alors la théologie n’est pas une
science, puisqu’elle n’est pas étude de quelque chose…",203
"Thomas d’Aquin se sert en fait de cette question pour expliciter la chose
suivante: la « doctrine sacrée » n’est pas la révélation divine. Notre
théologie n’est pas la Bible, mais notre étude de la Bible. Elle est la
science, l’étude si vous préférez, de la révélation divine.",276
"> A coup sûr la doctrine sacrée est une science. Mais, parmi les sciences, il
> en est de deux espèces. Certaines s’appuient sur des principes connus par la
> lumière naturelle de l’intelligence : telles l’arithmétique, la géométrie,
> etc **. D’autres procèdent de principes qui sont connus à la lumière d’une
> science supérieure** : comme la perspective à partir de principes reconnus
> en géométrie, et la musique à partir de principes connus par l’arithmétique.
> **Et c’est de cette façon que la doctrine sacrée est une science.** Elle
> procède en effet de principes connus à la lumière d’une science de Dieu et
> des bienheureux. E **t comme la musique fait confiance aux principes qui lui
> sont livrés par l’arithmétique, ainsi la doctrine sacrée accorde foi aux
> principes révélés par Dieu.** – Summa Ia, Q1, a2",823
"Si la théologie est une, alors elle ne devrait parler que de Dieu: parler de
l’homme, de la création etc ne serait déjà plus de la théologie.",141
"Ou alors « théologie » n’est qu’un raccourci pour parler de plein de sciences
différentes. Par exemple, la « physique » est une science multiple: elle
comprend l’électricité, la mécanique, le génie des matériaux etc… La théologie
peut être ainsi, avec la théologie de l’homme, de la création etc… Problème:
comment unifier tous ces savoir disparates? Comment unifier la doctrine de
l’homme à la doctrine de Christ? La doctrine du mal à la doctrine de
l’expiation? Comment unifier l’étude du livre de Jérémie à la discipline de
l’éthique chrétienne?",548
"Thomas d’Aquin répond alors que la théologie est bel et bien une science
unique, même quand elle étudie des savoirs très différents. En effet, ce qui
fait l’unité d’un savoir est l’unité de ce qui est étudié. La physique est une
science multiple, parce que l’électronicien n’étudie pas la même chose que
l’atomiste, qui n’étudie pas la même chose que le mécanicien quantique. Il
peut y avoir des interactions, mais aux marges de la discipline seulement…",453
"A l’inverse lorsque vous êtes un spécialiste d’exégèse ou d’histoire de
l’église, ou d’éthique chrétienne, vous étudiez en fait tous une seule et même
chose: la révélation divine. La diversité des disciplines ne vient que des
variations dans les méthodes et les détails étudiés.",278
"> De même, **l’unique science sacrée est en mesure d’envisager sous une même
> raison formelle, c’est-à-dire en tant que divinement révélables, des objets
> traités dans des sciences philosophiques différentes** ; ce qui fait que
> cette science peut être regardée comme une certaine impression de la science
> de Dieu elle-même, une et simple à l’égard de tout. – _Summa Ia, Q1, a3_",383
"Reformulons: La théologie chrétienne est-elle un savoir « pur », ou bien un
savoir en vue d’une certaine oeuvre, presque un savoir-faire?",137
"On pourrait être tenté de tout de suite dire que la théologie est un savoir
pour le savoir, mais rappelez vous que l’apôtre Jacques lui-même disait: «
_Mettez la parole en pratique au lieu de l’écouter seulement_ » (Jc1.22) et
qu’un bon nombre de versets de la Bible porte sur des commandements pratiques…",305
"Néanmoins Thomas d’Aquin maintient que la théologie est « spéculative », car
la fin de la théologie chrétienne n’est pas une vie morale ou vertueuse, mais
de connaître et amener à la connaissance du seul vrai Dieu, face à face.",227
"> **Toutefois la science sacrée est plus spéculative que pratique** , car elle
> concerne plus les choses divines que les actes humains **n’envisageant ceux-
> ci que comme moyens pour parvenir à la pleine connaissance de Dieu** , en
> laquelle consiste l’éternelle béatitude. – _Summa Ia, Q1, a4_",297
"Soit dit en passant, le but de l’éthique chrétienne n’est donc pas de former
le parfait pharisien ou bien de donner une liste de bon comportements à
adopter dans l’église: la théologie pratique sert à mieux connaître Dieu dans
le domaines de nos actes.",252
"La doctrine sacrée est donc l’étude de la révélation divine en vue de
connaître Dieu, sous tous ses angles. Maintenant, occupons nous de savoir si
cette science devrait être première, ou bien si elle est juste un savoir comme
un autre.",235
"A première vue, cela semble mal parti: notre théologie est composée de
sciences du langage, de philosophie, de sciences historiques… Considérant
qu’elle utilise toutes ces sciences, il apparaît évident que la théologie
passe _après_ la philosophie et la connaissance du grec par exemple.",287
"Une autre objection que l’on pourrait apporter est que la théologie porte sur
des articles de foi (la révélation divine) et est donc indigne d’être une
science plus « noble » que les sciences physiques, qui portent sur du concret
et de l’empiriquement vérifiable.",263
"Mais Thomas affirme sans concession que la théologie est bel et bien la reine
des sciences:",91
"> En sens contraire, les autres sciences sont appelées ses servantes ; ainsi
> lit-on aux Proverbes (9, 3) : la Sagesse “ a dépêché ses servantes, elle
> appelle sur les hauteurs ”
>
> […] **La vérité est que cette science, à la fois spéculative et pratique,
> dépasse sous ce double rapport toutes les autres.** – _Summa Ia, Q1, a5_",333
"Elle est plus noble que les sciences spéculatives (physique, chimie,
sociologie…) parce qu’elle s’occupe d’un objet plus élevé. Qui osera dire
qu’il est plus important de connaître le comportement d’un électron plutôt que
de connaître celui qui est le chemin, la vérité et la vie?",280
"Elle est aussi plus noble parce qu’elle s’appuie sur la révélation divine, qui
est beaucoup plus fiable que n’importe quelle expérience et observation
physique. Certains objecteront qu’au contraire, la connaissance de la
Révélation divine n’est pas fiable puisqu’elle n’est pas vérifiable et demande
au contraire la foi pour s’appuyer dessus. A ceci, Thomas d’Aquin répond
magnifiquement:",388
"> **Rien n’empêche qu’une connaissance plus certaine selon sa nature soit en
> même temps moins certaine pour nous** ; cela tient à la **faiblesse de notre
> esprit, qui se trouve, dit Aristote, “ devant les plus hautes évidences des
> choses, comme l’œil du hibou en face de la lumière du soleil ”**. Le doute
> qui peut surgir à l’égard des articles de foi ne doit donc pas être attribué
> à une incertitude des choses mêmes, mais à la faiblesse de l’intelligence
> humaine. **Malgré cela, la moindre connaissance touchant les choses les plus
> hautes est plus désirable qu’une science très certaine des choses moindres,
> dit Aristote**",639
"La théologie chrétienne est aussi la plus noble des sciences pratiques parce
qu’elle vise à la plus haute de toutes les fins, le plus noble de tous les
buts: la politologie sert à vous faire gagner la prochaine élection. La
théologie sert à vous montrer le chemin de la vie éternelle. Qui osera dire
qu’il existe un plus noble « savoir-faire » que celui qui nous mène au face à
face avec le Père?",396
La théologie est donc bel et bien la reine des sciences. Fin de l’histoire.,75
"L’article commencant à être long, et les questions suivantes étant moins
importantes, je vais tâcher de faire plus rapide.",122
"Le mot « sagesse » a ici un sens très particulier, qui en langage moderne se
retrouve en partie dans la notion de « vision du monde ». Une sagesse, au sens
aristotélicien, c’est le « méta-savoir » autour duquel s’arrange les autres
savoirs. Par exemple, la « sagesse » de l’architecte, c’est ce méta-savoir qui
lui permet d’arranger ensemble ses connaissances en génie civil, dessin,
conception, gestion de projets etc… pour concevoir un bâtiment. Est ce que la
théologie est de ce genre?",488
"> **Cette doctrine est par excellence une sagesse** , parmi toutes les
> sagesses humaines, et cela non **pas seulement dans un genre particulier,
> mais absolument**. – _Summa Ia, Q1, a6_",188
"Dieu étant le créateur de l’univers et l’ordonnateur de la vie de l’homme,
l’étude de la révélation divine est forcément une sagesse, et même la plus
grande des sagesses, puisqu’il n’y a pas de « plans » plus grands que celui de
Dieu. Quand on comprend et connaît le plan de Dieu, on peut arranger et
utiliser tous les savoirs humains pour le réaliser dans nos vies et à
l’extérieur.",383
"A l’inverse, celui qui enferme la théologie dans un bocal et se retire dans sa
petite sphère chrétienne ne reconnaît pas la sagesse de Dieu, car il ne
cherche pas à soummettre la création à Dieu, mais au contraire la fuit, comme
si le monde fonctionnait selon un certain plan, une certaine « sagesse » et le
chrétien une « sagesse différente ». C’est là l’erreur des fondamentalistes.",384
"Un livre qui parle du mariage selon Dieu, et qui ne parle que du mariage, est-
il un livre de théologie?",104
"> **Or, dans la doctrine sacrée, on traite tout “ sous la raison de Dieu ”, ou
> du point de vue de Dieu** , soit que l’objet d’étude soit Dieu lui-même,
> soit qu’il ait rapport à Dieu comme à son principe ou comme à sa fin. D’où
> il suit que Dieu est vraiment le sujet de cette science. – _Summa Ia, Q1,
> a7_",312
"Est ce qu’il convient vraiment d’argumenter au sujet de la révélation divine?
La théologie ne devrait-elle pas se réduire à la rédaction des confessions de
foi, la liste de ce qu’il faut croire? Pourquoi argumente-t-on ce qui est reçu
non par la raison, mais par la foi seule?",276
"Thomas d’Aquin dissipe ici un malentendu: Oui la théologie utilise la raison,
la logique et l’argumentation, mais à partir de la révélation, pas contre la
révélation. Elle prend sa base sur ce que dit la Bible, et développe dans
toutes leurs richesses les idées implicites contenues dans l’Ecriture.",299
"> Les autres sciences n’argumentent pas en vue de démontrer leurs principes ;
> mais elles argumentent à partir d’eux pour démontrer d’autres vérités
> comprises dans ces sciences. **Ainsi la doctrine sacrée ne prétend pas, au
> moyen d’une argumentation, prouver ses propres principes, qui sont les
> vérités de foi ; mais elle les prend comme point d’appui pour manifester
> quelque autre vérité** , comme l’Apôtre (1 Co 15,12) prend appui sur la
> résurrection du Christ pour prouver la résurrection générale. _– Summa Ia,
> Q1, a8_",535
"Avant de quitter cette question, je dois aborder un point très intéressant
pour nous protestants: que penser des sources extra-bibliques et
particulièrement des écrits des autres théologiens? C’est ici que Thomas
d’Aquin traite la question:",240
"> Au contraire, c’est un usage propre qu’elle [=la doctrine sacrée] fait des
> autorités de l’Écriture canonique. **Quant aux autorités des autres docteurs
> de l’Église, elle en use aussi comme arguments propres, mais d’une manière
> seulement probable. Cela tient à ce que notre foi repose sur la révélation
> faite aux Apôtres et aux Prophètes, non sur d’autres révélations, s’il en
> existe, faites à d’autres docteurs**. C’est pourquoi, écrivant à S. Jérôme,
> S. Augustin déclare : “ Les livres des Écritures canoniques sont les seuls
> auxquels j’accorde l’honneur de croire très fermement leurs auteurs
> incapables d’errer en ce qu’ils écrivent. Les autres, si je les lis, ce
> n’est point parce qu’ils ont pensé une chose ou l’ont écrite que je l’estime
> vraie, quelque éminents qu’ils puissent être en sainteté et en doctrine. ”
> _– Summa Ia, Q1, a8_",863
"Notre foi repose sur le Nouveau Testament et l’Ancien Testament seulement, et
non sur des révélations orales ( _si elles existent!!_ ) faite aux successeurs
des apôtres. Ecriture + Tradition? Hm… non, pas pour Thomas d’Aquin, et tant
pis pour Vatican II… Le prochain catholique qui vous dira que les réformateurs
ont inventé Sola Scriptura, dites lui que Thomas d’Aquin est un réformateur
alors.",395
"Si le but est d’exposer la vérité, alors il apparaît peu pratiquer d’utiliser
des analogies, des paraboles et des images… Cela engendre la confusion et
éloigne de la vérité.",173
"> Or, il est naturel à l’homme de s’élever à l’intelligible par le sensible,
> parce que toute notre connaissance prend son origine des sens. Il est donc
> parfaitement convenable que dans l’Écriture sainte les choses spirituelles
> nous soient livrées au moyen de métaphores corporelles _.- Summa Ia, Q1, a9_",309
"Il commente ensuite pourquoi la Bible utilise ainsi de telles images, mais
passons vite.",88
"Cette question là intéressera davantage le lecteur évangélique: peut-il y
avoir un sens allégorique attaché au sens littéral? Considérant l’emphase que
la tradition réformée met sur le sens littéral, il se peut que vous ayez le
poil hérissé lorsque vous lirez Thomas dire, en bon chrétien médiéval, qu’il y
a en plus du sens littéral, un sens spirituel:",353
"> A son tour, **le sens spirituel se divise en trois sens distincts.** […]
> Donc, lorsque les réalités de la loi ancienne signifient celles de la loi
> nouvelle, on a le **sens allégorique** ; quand les choses réalisées dans le
> Christ, ou dans ce qui signifie le Christ, sont le signe de ce que nous
> devons faire, on a le **sens moral** ; pour autant, enfin que ces mêmes
> choses signifient ce qui existe dans la gloire éternelle, on a le **sens
> anagogique.**",467
