id,message,message_preprocessed,category,length,category_bin
51,"Of course, this does not means that we do not know ANYTHING about how things really are, for Kant argued against things really having the characteristics our innate structure puts on they, like the forms of space and time or the categories like casuality. Read someday Sebastian Gardner book on Kant to get the details, it is a very good account of Kant views and arguments.      Academics do dispute the view that the thing-itself is a separate thing from phenomena, the two-worlds interpretation, but i do feel like it gets close to Kant intend. Specially if one see things like his defense of free will.      About a way of making this view sound coherent, Schopenhauer did a good job of deriving some conclusions about the thing-itself. Of all the germans, i still do not know which took Kant view to the more coherent direction, but he got to a interesting point.",course mean know anything thing really kant argued thing really characteristic innate structure put like form space time category like casuality read someday sebastian gardner book kant get detail good account kant view argument academic dispute view thing-itself separate thing phenomenon two-worlds interpretation feel like get close kant intend specially one see thing like defense free way making view sound coherent schopenhauer good job deriving conclusion thing-itself german still know took kant view coherent direction got interesting point,,868,1
113,"@Infinite_Growth:      ""Second order logic is not logic.""      I take it that what you mean here is something analogous to ""A rubber duck is not a duck"" which hinges on what one means by a logic.      Whatever the criteria you have in mind, that is *not* the route commonly taken in mathematical logic, for better or worse; it would void and null things like abstract model theory, Lindstrom's theorem, etc. Just open a textbook like Mendelson's ""Introduction to mathematical logic"" (If I remember correctly he treats second-order logic in an appendix).",infinitegrowth second order logic logic take mean something analogous rubber duck duck hinge one mean logic whatever criterion mind route commonly taken mathematical logic better worse would void null thing like abstract model theory theorem etc open textbook like introduction mathematical logic remember correctly treat second-order logic appendix,,553,1
15,"The map from axiology to moral reasons is quite complex, contextual, and heavily agent-centered. The hope of reducing moral reasons to axiology is very slim indeed.",map axiology moral reason quite complex contextual heavily agent-centered hope reducing moral reason axiology slim indeed,,164,1
110,"The paradox of the material implication seems to belie this fact. ""If the moon is made of green cheese then I will grow 800ft"", when analyzed with respect to truth functionality, is true. But most people would say it's false, because the consequent has no logical connection to the antecedent.",paradox material implication seems belie fact moon made green cheese grow ft analyzed respect truth functionality true people would say false consequent logical connection antecedent,,293,1
104,"I wasn't trying to exonerate them. I'm more than happy to talk about their complicity, in fact. The Poles were victims of the Holocaust. If someone wants to talk about the crimes of particular Poles, we can start talking about the crimes of the Kapo. And maybe we'll bring the Soviets into the mix too.      In fact, perhaps we should do that regardless.",trying exonerate happy talk complicity fact pole victim holocaust someone want talk crime particular pole start talking crime kapo maybe bring soviet mix fact perhaps regardless,,354,1
69,"Book IV of Divine Names is even better because Dionysius modifies Proclus's privation view of evil to be compatible with a Christian perspective. Proclus doesn't think spiritual creatures can be evil, but Dionysius does.",book iv divine name even better dionysius modifies privation view evil compatible christian perspective proclus think spiritual creature evil dionysius,,220,1
97,"That list would seem to include a good number of peoples. As a Pole, allow me to submit my own people who, by the way, have never received a grosz of compensation for what was effectively a 50 year Soviet occupation, for the unfathomable destruction, savagery, and death caused by the Nazis and Soviets during WWII, for the 18th century Partitions, for the massive destruction of the Second Northern War, for the various massacres carried out by the Teutonic Order, for the massacres carried out by the Mongols, for the slave trade (Ah, yes. Didn't you know? The word ""slave"" comes from Slav. They were highly prized.), etc, etc.      Oh, and for all those Polish jokes.",list would seem include good number people pole allow submit people way never received grosz compensation effectively year soviet occupation unfathomable destruction savagery death caused nazi soviet wwii th century partition massive destruction second northern war various massacre carried teutonic order massacre carried mongol slave trade ah yes know word slave come slav highly prized etc etc oh polish joke,,670,1
85,"It's a grift, absolutely. And I think it's an even deeper grift than that, and not exclusive to the left.      But what bothers me about this particular subject is that there has been an absolutely, positively *insane* advancement in the ease of education in the past couple of decades. In less than a single lifetime we went from books almost exclusively being available on dead trees to having copies of massive libraries able to fit in our pockets. And not just books, but videos, interactive instructions, and more. We are swimming in a disgusting abundance of free and accessible education which can be accessed for next to nothing, at will, 24/7, anywhere on the planet. Education has never been easier and more attainable than ever before for everyone in the world. Especially for English speakers.      Somehow, despite this being abundant and obvious, we still are pretending that the only way to (say) learn French is to go six figures in debt and get a French degree from an accredited university that has a massive staff. Same for learning the Humanities, Physics or C++. The exceptions to this exist, but are few.      It is maddening.",grift absolutely think even deeper grift exclusive left bother particular subject absolutely positively insane advancement ease education past couple decade le single lifetime went book almost exclusively available dead tree copy massive library able fit pocket book video interactive instruction swimming disgusting abundance free accessible education accessed next nothing anywhere planet education never easier attainable ever everyone world especially english speaker somehow despite abundant obvious still pretending way say learn french go six figure debt get french degree accredited university massive staff learning humanity physic c exception exist maddening,,1148,1
101,"N.b. I am the Anon that wrote the above post responding to @Infinite Growth (I had selected ""Anonymous"" by accident from the drop down).      To make clear what I meant by recent politics, take, for example, Act H.R.1226 and Senate Act S.447 through which certain organizations, with the aid of the US government, are trying to extract massive sums of money from the Polish state for so-called heirless property that once belonged to Jews. According to both Polish law and the general legal principle followed virtually everywhere, property without a legal heir reverts to the state after the death of its owner. If a legal heir exists, he is free to pursue restitution like everyone else through the Polish courts. The absurd position of certain groups is that the Polish government should treat these cases in a extraordinary way and offer broad restitution anyway, not to any heirs, because of course they don't exist, but to organizations and people who are not legal heirs. And recall that this was property held by Polish citizens as Polish Jews were Polish citizens. By reinforcing the notion that Poles, as a corporate body, are guilty of collaborating in the criminal program of the Nazis, it becomes easier to make claims on the Polish state. Heirless property, combined with a sprinkle of customary special pleading, misrepresentation, and the thought- diffusing VIP pass that is the word ""Holocaust"", provides a convenient opportunity for unscrupulous organizations to illegitimately extract billions of dollars from the Polish state by exploiting the emotional force of a historical tragedy. Perhaps such organizations should instead direct their claims to Berlin as the German state is responsible for handling the restitution of Jewish property lost through actions of the Nazi regime. As I mentioned already, the Poles have not received a dime of restitution for the absolute obliteration of their country, its cities, its cultural heritage, not to mention the torture, exploitation, and deaths of millions of its citizens, Jew and gentile alike.",nb anon wrote post responding infinite growth selected anonymous accident drop make clear meant recent politics take example act hr senate act certain organization aid u government trying extract massive sum money polish state so-called heirless property belonged jew according polish law general legal principle followed virtually everywhere property without legal heir reverts state death owner legal heir exists free pursue restitution like everyone else polish court absurd position certain group polish government treat case extraordinary way offer broad restitution anyway heir course exist organization people legal heir recall property held polish citizen polish jew polish citizen reinforcing notion pole corporate body guilty collaborating criminal program nazi becomes easier make claim polish state heirless property combined sprinkle customary special pleading misrepresentation thought- diffusing vip pas word holocaust provides convenient opportunity unscrupulous organization illegitimately extract billion dollar polish state exploiting emotional force historical tragedy perhaps organization instead direct claim berlin german state responsible handling restitution jewish property lost action nazi regime mentioned already pole received dime restitution absolute obliteration country city cultural heritage mention torture exploitation death million citizen jew gentile alike,,2062,1
75,"""One of the best contemporary writers on philosophy"" _National Review_      ""A terrific writer"" Damian Thompson, _Daily Telegraph_      ""Feser... has the rare and enviable gift of making philosophical argument compulsively readable"" Sir Anthony Kenny, _Times Literary Supplement_      Selected for the _First Things_ list of the 50 Best Blogs of 2010 (November 19, 2010)  ",one best contemporary writer philosophy national review terrific writer damian thompson daily telegraph feser rare enviable gift making philosophical argument compulsively readable sir anthony kenny time literary supplement selected first thing list best blog november,,372,1
7,"Perhaps, though, we can modify the story in terms of goods-for- _x_ , and say that _G_ is good-for- _x_ to the extent that _x_ should stand for _G_. But that doesn’t seem right, either. I should stand for justice for all, and not merely to the degree that justice-for-all is good-for-me. Moreover, there goods that are good for non-agents, while a non-agent does not have a reason to do anything.",perhaps though modify story term goods-for- x say g good-for- x extent x stand g seem right either stand justice merely degree justice-for-all good-for-me moreover good good non-agents non-agent reason anything,,396,1
70,"WCB      The moral nature of man argument. If God decides to create man. Including mankind's moral nature.      God has three choices   1\. Create mankind with a bad moral nature.   2\. Create mankind with an indifferent moral nature.   3\. Create mankind with a good moral nature.      Our God given moral nature constrains our free will the free will argument for existence of moral evil fails. Creating mankind with an indifferent moral nature does not confer free will on mankind, just gurantees moral evil will be committed in this world.      If God is good, just, merciful, compassionate, and wise and cares about us, God must choose to create all mankind with the best moral nature possible.      The Problem Of Evil is not really A Problem, but is many such little problems that have no answers. Theology should be about logic if Theologians give us claims without hard evidence. The hard evidence in this world is moral evil exists. Logic such as above demonstrates theological opinions seem to be very wrong. How many logical dead ends like this does an Atheist need to acknowledge the God hypothesis of a wise, perfectly good God fails?      WCB",wcb moral nature man argument god decides create man including moral nature god three choice create mankind bad moral nature create mankind indifferent moral nature create mankind good moral nature god given moral nature constrains free free argument existence moral evil fails creating mankind indifferent moral nature confer free mankind gurantees moral evil committed world god good merciful compassionate wise care u god must choose create mankind best moral nature possible problem evil really problem many little problem answer theology logic theologian give u claim without hard evidence hard evidence world moral evil exists logic demonstrates theological opinion seem wrong many logical dead end like atheist need acknowledge god hypothesis wise perfectly good god fails wcb,,1157,1
31,"“As follows from these considerations,” Kant says, “the ideal of the supreme being is nothing but a _regulative principle_ of reason, which directs us to look upon all connection in the world _as if_ it originated from an all- sufficient necessary cause” (p. 517). Note that Kant is not saying that this ideal is an unavoidable useful _fiction_ , but rather that it is unavoidable and useful even if (in his view) _unprovable_.",“ follows consideration ” kant say “ ideal supreme nothing regulative principle reason directs u look upon connection world originated all- sufficient necessary cause ” p note kant saying ideal unavoidable useful fiction rather unavoidable useful even view unprovable,,427,1
