id,message,message_preprocessed,category,length,category_bin
80,Very good speaker,good speaker,positive,17,1
81,Just bought my second and third one of these.  The first one backs up a desktop computer and monitor and easily runs it for 15 minutes after a power outage.  The new ones are to power my cable box (Comcast) because even the briefest flicker of power and the box goes through the whole five minutes restart procedure.  The other one is just for the modem/router/VOIP/NAT devices.  We don't lose power very often or for very long periods of time but keeping all those devices from resetting and rebooting is worth the price of these inexpensive UPS devices (paid $45 each).  Batteries are easily replaceable and about $17 each for the generic brand.,bought second third one first one back desktop computer monitor easily run minute power outage new one power cable box comcast even briefest flicker power box go whole five minute restart procedure one modemroutervoipnat device lose power often long period time keeping device resetting rebooting worth price inexpensive ups device paid battery easily replaceable generic brand,positive,647,1
57,"So, I wouldn't have purchased this if it were not for my wife, who is infinitely frustrated with my audio setup.<br /><br />I needed something that would sit next to our TV, and be simple to use.  The fact that this has a remote is a nice bonus.  The fact that this can grab my local radio stations is a HUGE bonus - one which I didn't know it could do (does it via streaming).<br /><br />My problem is that I have this setup:<br /><br />Computer requests audio to be played from a Linux computer which uses a M2Tech Hiface to stream digital to my DAC (streamed lossless FLAC).  This then feeds into my preamp, and then amp and speakers.  To access the linux computer that runs the whole show, I have to have her use shell login to my linux host (not easy for most people, and if something goes wrong, she can't fix it).  You can then  from command line play pandora or music.<br /><br />So, those issues being stated, after plenty of research, I chose this.  I can connect this up right into my preamp, and she can use it pretty easily.  The setup was a snap, follow a few instructions, and I'm now linked up with my pandora account (I've got probably 40 stations I've been grooming for years).  Great.<br /><br />I had mistook the &#34;antenna&#34; in the product pictures for a coax hookup for an AM/FM antenna.  In fact this hookup is for the antenna to your wireless router.  Very fortunately, this nice box has the great feature of being able to pickup any radio station that streams their broadcasts (which as it turns out, is almost all of the local stations).  Not only that, but I can get stations that I would otherwise not be able to get at all (since I don't rely on an antenna, just whatever I choose to stream).  how do I get my local stations?  Simple !  you just set your location (enter your city I believe).  And it'll select the right stations for where you are.  It will also allow you to then progress outwards and grab more stations that you wouldn't otherwise be able to get with an antenna of probably any size.  I live in Baltimore, and it allows me to get stations hundreds of miles away!  Very slick!!<br /><br />The one downside to this product is that the built-in amplifier is really pretty poor quality.  However, I didn't buy this for that functionality anyway.  I only ended up using it, as my preamp crapped out, and I'm stuck using the built in amp for the time being.  It's nice that it's available, but don't think that if you have decent speakers, that you'll get very good sound quality.  You're much better off using the 'line out' and putting this into your favorite receiver or preamp, as the built in one just isn't so great, but it's functional.ith an antenna of probably any size.  I live in Baltimore, and it allows me to get stations hundreds of miles away!  Very slick!!<br /><br />The one downside to this product is that the built-in amplifier is really pretty poor quality.  However, I didn't buy this for that functionality anyway.  I only ended up using it, as my preamp crapped out, and I'm stuck using the built in amp for the time being.  It's nice that it's available, but don't think that if you have decent speakers, that you'll get very good sound quality.  You're much better off using the 'line out' and putting this into your favorite receiver or preamp, as the built in one just isn't so great, but it's functional.",purchased wife infinitely frustrated audio setupbr br needed something would sit next tv simple use fact remote nice bonus fact grab local radio station huge bonus - one know could via streamingbr br problem setupbr br computer request audio played linux computer us mtech hiface stream digital dac streamed lossless flac feed preamp amp speaker access linux computer run whole show use shell login linux host easy people something go wrong fix command line play pandora musicbr br issue stated plenty research chose connect right preamp use pretty easily setup snap follow instruction linked pandora account ive got probably station grooming year greatbr br mistook antenna product picture coax hookup amfm antenna fact hookup antenna wireless router fortunately nice box great feature able pickup radio station stream broadcast turn almost local station get station would otherwise able get since rely antenna whatever choose stream get local station simple set location enter city believe select right station also allow progress outwards grab station otherwise able get antenna probably size live baltimore allows get station hundred mile away slickbr br one downside product built-in amplifier really pretty poor quality however buy functionality anyway ended using preamp crapped stuck using built amp time nice available think decent speaker get good sound quality much better using line putting favorite receiver preamp built one great functionalith antenna probably size live baltimore allows get station hundred mile away slickbr br one downside product built-in amplifier really pretty poor quality however buy functionality anyway ended using preamp crapped stuck using built amp time nice available think decent speaker get good sound quality much better using line putting favorite receiver preamp built one great functional,positive,3380,1
0,As described.,described,positive,13,1
95,"A nice aid to fast-tuning the MP1 80, 60 & 40-10m coils.",nice aid fast-tuning mp -m coil,positive,56,1
56,These are like HDMI on steroids.  Very well constructed cables.  Nothing cheap about them and the price was really good too.  I'd buy more of these in a heartbeat,like hdmi steroid well constructed cable nothing cheap price really good buy heartbeat,positive,162,1
5,The quality on these speakers is insanely good and doesn't sound muddy when adjusting bass. Very happy with these.,quality speaker insanely good sound muddy adjusting bass happy,positive,114,1
26,Good looking over the ear headphones that have a surprising deep bass response. I have noticed new bass notes on some of the songs I have been listening to for years. I use them at work to reduce the surrounding noise. A great value.,good looking ear headphone surprising deep bass response noticed new bass note song listening year use work reduce surrounding noise great value,positive,233,1
59,"Day 20 November 2014 acquired the JBL portable load Indoor / Outdoor Bluetooth Speaker | Black and hardly used it and 6.16.15 she has stopped working. Just take full charge when left more than 24 hours, yet their working time is no more than 2hs. The few times I used, was always loaded with accessories that accompanied it. I live in Brasilia-DF Brazil, not with the product warranty or aq even there in the USA. She when turned on, provides a noise as if in short circuit and after a while for the noise. only is working connected to the charger.<br /> It is expensive and that left me high and dry.<br /> Disappointed.",day november acquired jbl portable load indoor outdoor bluetooth speaker black hardly used stopped working take full charge left hour yet working time h time used always loaded accessory accompanied live brasilia-df brazil product warranty aq even usa turned provides noise short circuit noise working connected chargerbr expensive left high drybr disappointed,negative,621,0
45,Bought these headphones a week ago and I love them. These are the most comfortable headphones I've ever owned. Feels so comfortable even listening for many hours. I own a pair of Audio Technica M50x and these for me are much better. They are much more open and a pleasure to listen to any music. I listen to music mostly on my iPad and have a subscription to Tidal premium musi service right now. The clarity of the music is amazing. These headphones also are a great bargain at $108.99 on Amazon. I'm very happy with my purchase.,bought headphone week ago love comfortable headphone ever owned feel comfortable even listening many hour pair audio technica mx much better much open pleasure listen music listen music mostly ipad subscription tidal premium musi service right clarity music amazing headphone also great bargain amazon happy purchase,positive,530,1
