id,message,message_preprocessed,category,length,category_bin
4290,En gros : sont ils au bénéfice d’un choix ? Dieu les as-t-il choisis ? On répond sans difficulté à cette question :,en gros sont il au bénéfice un choix dieu le as-t-il choisis répond sans difficulté à cette question,middle_age_fr,115,0
3161,"Nous avons vu que Thomas d’Aquin est sans concession quant au fait que Dieu détermine toute chose. Et vous avez lu le condensé de la question 118 sur le gouvernement divin, qui est de nature à faire passer James White pour un modéré. Mais nous avons vu que dans le thomisme, il y a assez de nuances pour que le libre-arbitre, correctement placé, existe, et c’est donc sans surprise que Thomas affirme:",nous avon vu que thomas aquin est sans concession quant au fait que dieu détermine toute chose et vous avez lu le condensé de la question sur le gouvernement divin qui est de nature à faire passer james white pour un modéré mais nous avon vu que dans le thomisme il assez de nuance pour que le libre-arbitre correctement placé existe et est donc sans surprise que thomas affirme,middle_age_fr,401,0
3924,"> Ce nom “ Celui qui est ” est dit le nom le plus propre à Dieu pour trois > raisons : > > 1 **A cause de sa signification ; car il ne désigne pas une forme > particulière d’existence, mais l’existence même.** Aussi, puisque > l’existence de Dieu est identique à son essence, ce qui ne convient qu’à lui > seul, nous l’avons montré, il est évident qu’entre tous les noms qu’on lui > donne, celui-là nomme Dieu le plus proprement ; car tout être est nommé > d’après sa forme. > > 2\. **A cause de son universalité** ; […] S. Jean Damascène : “ De tous les > noms que nous donnons à Dieu, **nous devons regarder comme principal « Celui > qui est », car Dieu est l’être comprenant tout en soi-même comme une sorte > d’océan de substance, infini et sans bords.** ” Tout autre nom détermine en > quelque manière la substance de la chose qu’il nomme, tandis que ce nom “ > Celui qui est ” ne détermine aucun mode d’être ; il est sans détermination à > l’égard de tous, et c’est en cela qu’il nomme l’océan infini de substance. > > 3\. **A cause de ce qui est inclus dans sa signification ; car ce nom > signifie au présent, et cela convient souverainement à Dieu,** dont l’être > ne connaît ni passé, ni avenir, ainsi que le remarque S. Augustin’. – Ia, > Q13, a11",ce nom “ celui qui est ” est dit le nom le plus propre à dieu pour trois raisons cause de sa signification car il ne désigne pa une forme particulière existence mais existence même aussi puisque existence de dieu est identique à son essence ce qui ne convient à lui seul nous avon montré il est évident entre tous le noms lui donne celui-là nomme dieu le plus proprement car tout être est nommé après sa forme cause de son universalité … jean damascène “ de tous le noms que nous donnons à dieu nous devon regarder comme principal « celui qui est » car dieu est être comprenant tout en soi-même comme une sorte océan de substance infini et sans bords ” tout autre nom détermine en quelque manière la substance de la chose il nomme tandis que ce nom “ celui qui est ” ne détermine aucun mode être il est sans détermination à égard de tous et est en cela il nomme océan infini de substance cause de ce qui est inclus dans sa signification car ce nom signifie au présent et cela convient souverainement à dieu dont être ne connaît ni passé ni avenir ainsi que le remarque – ia q,middle_age_fr,1258,0
2249,"1 Rois 18:18 : « Elie répondit: Je ne trouble point Israël; c’est **toi, au contraire, et la maison de ton père** , puisque vous avez abandonné les commandements de l’Eternel et que tu es allé après les Baals »",roi « elie répondit je ne trouble point israël est toi au contraire et la maison de ton père puisque vous avez abandonné le commandements de eternel et que tu e allé après le baal »,baptism_fr,210,1
516,"Le Christ est celui qui accomplit la Loi divine, sa tentation montre qu’il passe l’épreuve qu’Israël a échoué (après Adam), sa souffrance et sa mort montrent son obéissance passive à cette Loi. Ainsi, par sa vie et sa mort il accomplit toutes les exigences de la Loi. La nouveauté de la nouvelle alliance, en somme, c’est l’avènement de Jésus-Christ qui nous mérite la vie éternelle et garantit ainsi l’accomplissement de toutes ces promesses. L’Esprit promis aussi, inaugure une nouvelle ère, eschatologique. Il est la puissance à l’œuvre dans la résurrection et signe un changement de siècle, il étend aussi le règne de Christ à toutes les nations. Le Messie garantir l’accomplissement des promesses, l’Esprit inaugure une nouvelle ère. Loin d’être totalement nouveau, cette ère est en fait l’inauguration de l’accomplissement de ce qui était promis.",le christ est celui qui accomplit la loi divine sa tentation montre il passe épreuve israël échoué après adam sa souffrance et sa mort montrent son obéissance passive à cette loi ainsi par sa vie et sa mort il accomplit toutes le exigences de la loi la nouveauté de la nouvelle alliance en somme est avènement de jésus-christ qui nous mérite la vie éternelle et garantit ainsi accomplissement de toutes ce promesses esprit promis aussi inaugure une nouvelle ère eschatologique il est la puissance à œuvre dans la résurrection et signe un changement de siècle il étend aussi le règne de christ à toutes le nation le messie garantir accomplissement de promesses esprit inaugure une nouvelle ère loin être totalement nouveau cette ère est en fait inauguration de accomplissement de ce qui était promis,baptism_fr,852,1
1228,>>Cet article peut vous intéresser : [Jérémie 31 nous dit-il qu’il n’y a plus d’irrégénérés dans la nouvelle alliance ?](https://parlafoi.fr/2018/07/25/jeremie-31-nous-dit-il-que-leglise-nest- plus-composee-que-de-regeneres-aujourdhui/),cet article peut vous intéresser jérémie nous dit-il il plus irrégénérés dans la nouvelle alliance httpsparlafoifrjeremie -- nous-dit-il-que-leglise-nest- plus-composee-que-de-regeneres-aujourdhui,baptism_fr,236,1
3506,"Certes, mais en même temps, nous disons aussi que l’univers est infini… Il est temps de rentrer dans les détails de ce que veut dire: « infini » en métaphysique, qui n’est pas tout à fait le même sens qu’en mathématiques.",certes mais en même temp nous disons aussi que univers est infini… il est temp de rentrer dans le détails de ce que veut dire « infini » en métaphysique qui est pa tout à fait le même sen en mathématiques,middle_age_fr,221,0
107,"« Il les prit avec lui, à cette heure même de la nuit, lava leurs plaies, et aussitôt il fut baptisé, lui et tous les siens. » (Actes 16 :33)",« il le prit avec lui à cette heure même de la nuit lava leurs play et aussitôt il fut baptisé lui et tous le siens » actes,baptism_fr,141,1
4570,"On remarquera alors que la béatitude s’entretient elle-même, puisqu’elle produit dans le cœur du bienheureux la condition même de son existence et de son maintien. Elle ne nous demandera donc aucun effort.",remarquera alors que la béatitude entretient elle-même elle produit dans le cœur du bienheureux la condition même de son existence et de son maintien elle ne nous demandera donc aucun effort,middle_age_fr,205,0
430,"  1. Il dit dans la deuxième partie que les enfants appelés saints, en Ephésiens notamment, sont certainement convertis et instruits (cela reste à prouver). Pourtant, il a reconnu plus haut, en citant 1 Corinthiens 7:14 que les enfants de croyants étaient saints, mis à part. Or 1 Corinthiens 7:14 concerne de façon évidente tous les enfants. Pourquoi donc admettre d’un côté que les enfants sont saints pour nuancer ensuite cette affirmation ?Voir : [Pédobaptême : John Nelson Darby sur 1 Corinthiens 7:14](https://parlafoi.fr/2018/10/23/john-nelson-darby-sur-1-corinthiens-714/)",il dit dans la deuxième partie que le enfants appelés saint en ephésiens notamment sont certainement convertis et instruits cela reste à prouver pourtant il reconnu plus haut en citant corinthiens que le enfants de croyants étaient saint mi à part corinthiens concerne de façon évidente tous le enfants pourquoi donc admettre un côté que le enfants sont saint pour nuancer ensuite cette affirmation voir pédobaptême john nelson darby sur corinthiens httpsparlafoifrjohn-nelson-darby-sur -- corinthiens-,baptism_fr,580,1
