id,message,message_preprocessed,category,length,category_bin
2049,"J’avais prévu dans cet article d’exposer encore la doctrine de Samuel Ward, Edward Polhill, A. Kuyper, H. Hoeksema et K. Schilder pour montrer en quoi les débats internes aux réformés à ce sujet soulignent la continuité entre l’approche patristique et l’approche presbytérienne mais cela rallongerait inutilement l’article puisqu’il me paraît clair que nous avons montré que dire que les pères adhéraient massivement à la régénération baptismale, comprise comme un changement de nature opéré par le baptême, relève d’une lecture superficielle des pères.",javais prévu dans cet article exposer encore la doctrine de samuel ward edward polhill kuyper h hoeksema et k schilder pour montrer en quoi le débats interne aux réformés à ce sujet soulignent la continuité entre approche patristique et approche presbytérienne mais cela rallongerait inutilement article il paraît clair que nous avon montré que dire que le pères adhéraient massivement à la régénération baptismale comprise comme un changement de nature opéré par le baptême relève une lecture superficielle de pères,corpus_baptism_fr,553,1
57,"Je pourrais accumuler ainsi les preuves, les mosaïques, les épitaphes de tombeaux d’enfants, etc. Comme le dit Jean Calvin[8]« L’idée répandue que le baptême des enfants a été instauré longtemps après les apôtres est une fiction. Car il n’y a pas d’historien ancien, depuis l’Église primitive, qui ne rende témoignage qu’en ce temps-là, le baptême des enfants était pratiqué. ».",je pourrais accumuler ainsi le preuves le mosaïques le épitaphes de tombeaux enfants etc comme le dit jean calvin « idée répandue que le baptême de enfants été instauré longtemps après le apôtres est une fiction car il pa historien ancien depuis église primitive qui ne rende témoignage en ce temps-là le baptême de enfants était pratiqué »,corpus_baptism_fr,378,1
4372,Concernant la bonté **ajoutée** à l’essence : Oui. Il peut par exemple ajouter le savoir et la vertu à un homme. Il peut ajouter la justice et la sainteté à un homme pêcheur et misérable.,concernant la bonté ajoutée à essence oui il peut par exemple ajouter le savoir et la vertu à un homme il peut ajouter la justice et la sainteté à un homme pêcheur et misérable,corpus_middle_age_fr,187,0
601,"Cette coupe de la Cène est la nouvelle alliance (11 :25), mais cela ne veut pas dire qu’elle ne peut pas administrer un jugement envers les incrédules. Ni que nous ne risquons plus rien lorsque nous sommes dans la nouvelle alliance. Au contraire, si « nos pères » (10 :1) sont tombés morts au désert, nous n’aurons pas un jugement plus favorable !",cette coupe de la cène est la nouvelle alliance mais cela ne veut pa dire elle ne peut pa administrer un jugement envers le incrédules ni que nous ne risquons plus rien lorsque nous somme dans la nouvelle alliance au contraire si « no pères » sont tombés morts au désert nous aurons pa un jugement plus favorable,corpus_baptism_fr,347,1
988,"Donald Cobb rappelle, comme je l’ai fait plus haut, que l’argument de la circoncision ne consiste pas premièrement à souligner les parallèles entre ces deux sacrements, ces deux signes d’alliance. Il s’agit avant tout de dire que les enfants appartiennent à l’alliance de Dieu avec leurs parents. Toutefois, le parallèle entre les deux sacrements est un argument _supplémentaire_ venant appuyer l’argument fondé sur l’alliance.",donald cobb rappelle comme je ai fait plus haut que argument de la circoncision ne consiste pa premièrement à souligner le parallèles entre ce deux sacrements ce deux signes alliance il agit avant tout de dire que le enfants appartiennent à alliance de dieu avec leurs parent toutefois le parallèle entre le deux sacrements est un argument supplémentaire venant appuyer argument fondé sur alliance,corpus_baptism_fr,427,1
4371,"Concernant la bonté qui relève d’une essence : Non. Si Dieu donnait à l’homme une force gigantesque, des rayons lasers qui lui sortent des yeux et une invincibilité (coucou Clark Kent) alors ce ne serait plus un homme mais autre chose. De même, si le nombre 4 était plus grand, ce ne serait plus le nombre 4 mais autre chose.",concernant la bonté qui relève une essence non si dieu donnait à homme une force gigantesque de rayon laser qui lui sortent de yeux et une invincibilité coucou clark kent alors ce ne serait plus un homme mais autre chose de même si le nombre était plus grand ce ne serait plus le nombre mais autre chose,corpus_middle_age_fr,325,0
1025,"  1. [Make « la circoncision » great again – PAR LA FOI](https://parlafoiblog.wordpress.com/2018/11/06/make-la-circoncision-great-again/) \- […] était un extrait de l’article « baptême et circoncision en Colossiens 2« , nous vous invitons à lire le reste de…",make « la circoncision » great – par la foihttpsparlafoiblogwordpresscommake-la-circoncision-great-again - … était un extrait de article « baptême et circoncision en colossiens « nous vous invitons à lira le reste de…,corpus_baptism_fr,258,1
5022,"Thomas d’Aquin commence par rappeler que l’incarnation signifie que Jésus a pris une nature humaine complète, intellect humain compris. Il a donc une deuxième science, en plus de son omniscience divine :",thomas aquin commence par rappeler que incarnation signifie que jésus pris une nature humaine complète intellect humain compris il donc une deuxième science en plus de son omniscience divine,corpus_middle_age_fr,203,0
1671,"Maxime est étudiant en médecine à Lille. Fondateur du blog Parlafoi.fr, il se passionne pour la théologie systématique, l'histoire du dogme et la philosophie réaliste. Vous entendrez souvent dans sa bouche ""Thomas d'Aquin"", ""Jean Calvin"" et ""Vive la scolastique"". Il affirme être marié à la meilleure épouse du monde. Ils vivent ensemble sur Lille avec leurs deux enfants et sont moniteurs de la méthode Billings.",maxime est étudiant en médecine à lille fondateur du blog parlafoifr il se passionne pour la théologie systématique histoire du dogme et la philosophie réaliste vous entendrez souvent dans sa bouche thomas aquin jean calvin et vive la scolastique il affirme être marié à la meilleure épouse du monde il vivent ensemble sur lille avec leurs deux enfants et sont moniteurs de la méthode billing,corpus_baptism_fr,413,1
2835,"Il est fort possible que l’un ou l’autre argument ait été mal formulé, mal défendu, mal compris ou soit tout simplement invalide. Néanmoins, si nous considérons l’ensemble, je pense que la position réformée est largement plus cohérente avec les données que nous avons. Examinez chaque argument, comparez- les avec les arguments baptistes et, si l’un des arguments vous parait fallacieux, faites-le moi savoir pour que je le formule mieux, le défende mieux, l’explique mieux ou l’abandonne totalement.",il est fort possible que un ou autre argument ait été mal formulé mal défendu mal compris ou soit tout simplement invalide néanmoins si nous considérons ensemble je pense que la position réformée est largement plus cohérente avec le données que nous avon examinez chaque argument comparez- le avec le argument baptistes et si un de argument vous parait fallacieux faites-le moi savoir pour que je le formule mieux le défende mieux explique mieux ou abandonne totalement,corpus_baptism_fr,500,1
