id,message,message_preprocessed,category,length,category_bin
3060,Have you abandoned classical theism for process theology or Manichaeism Dr. Feser? You might wanna try reading what David wrote and that thing you quoted in Vatican 1 about God creating only as necessarily as he necessarily loves himself about 15 times slowly maybe even out loud until you come to the epiphany that they are precisely saying the same thing.,abandoned classical theism process theology manichaeism dr feser might wan na try reading david wrote thing quoted vatican god creating necessarily necessarily love time slowly maybe even loud come epiphany precisely saying thing,feser,357,0
3457,"Feser writes: ""Now, I sympathize with Chomsky’s view that the so-called hard problem of consciousness is a pseudo-problem. As I said in my exchange with Goff, I would say that the problem arises only if we follow Galileo and his early modern successors in holding that color, odor, sound, heat, cold, and other “secondary qualities” do not really exist in matter in the way common sense supposes them to, but instead exist only in the mind (as the qualia of conscious experience) and are projected by us onto external reality. If you take this position, you are stuck with a conception of matter that makes it impossible to regard consciousness as material. The solution, I would say, is simply not to go along with this assumption in the first place, but to return to the Aristotelian-Scholastic view the early moderns reacted against, and which is compatible with the commonsense view of matter. The so-called hard problem of consciousness then dissolves.""      But per Chalmers: ""The “hard problem” is explaining why any of the neural processes in question are associated with conscious awareness, given that it seems at least prima facie possible that they could do what neuroscience describes them as doing in the complete absence of consciousness.""      I have to cast my lot with Chalmers: that's a real hard problem! How does that neural activity have any-intelligible-thing to do with consciousness? (And also, how does the lack of any relevant explanatory bridge theory have anything to do with Galileo??)",feser writes sympathize view so-called hard problem consciousness pseudo-problem said exchange goff would say problem arises follow galileo early modern successor holding color odor sound heat cold “ secondary quality ” really exist matter way common sense supposes instead exist mind qualia conscious experience projected u onto external reality take position stuck conception matter make impossible regard consciousness material solution would say simply go along assumption first place return aristotelian-scholastic view early modern reacted compatible commonsense view matter so-called hard problem consciousness dissolve per chalmers “ hard problem ” explaining neural process question associated conscious awareness given seems least prima facie possible could neuroscience describes complete absence consciousness cast lot chalmers real hard problem neural activity any-intelligible-thing consciousness also lack relevant explanatory bridge theory anything galileo,feser,1515,0
3220,"_It is still more important that the formula for the oath taken by every new Pope from the 8 th century till the 11th adds these words to the list of Monothelites condemned: “ **Together with Honorius, who added fuel to their wicked assertions**.”_ (pp. 115-16)",still important formula oath taken every new pope th century till th add word list monothelites condemned “ together honorius added fuel wicked assertion ” pp -,feser,261,0
3140,"""Therefore we may be certain of the infallibility of the Church, while we admit that in many things we are not, and cannot be, certain at all."" Said the fallible human Newman. But many other fallible humans disagree with him. Furthermore, Newman was not happy with the formal declaration of Papal Infallibility at Vat1.      ""I may be certain that the Church is infallible, while I am myself a fallible mortal; otherwise, I cannot be certain that the Supreme Being is infallible, until I am infallible myself.""      The Orthodox and Muslims believe in the infallibility of the Supreme Being, but do not accept the infallibility of the Church.",therefore may certain infallibility church admit many thing certain said fallible human newman many fallible human disagree furthermore newman happy formal declaration papal infallibility vat may certain church infallible fallible mortal otherwise certain supreme infallible infallible orthodox muslim believe infallibility supreme accept infallibility church,feser,642,0
106,"So the view has to be that sometimes _F_ -norms take precedence over moral norms, but not always. There must thus be norms which are neither _F_ -norms nor moral norms that decide whether _F_ -norms or moral norms take precedence. We can call these “overall norms of combination”. And it is crucial to the view that the norms of combination themselves be neither _F_ -norms nor moral norms.",view sometimes f -norms take precedence moral norm always must thus norm neither f -norms moral norm decide whether f -norms moral norm take precedence call “ overall norm combination ” crucial view norm combination neither f -norms moral norm,pruss,390,1
3324,"@ Infinite_Growth      How could I be equivocating two senses of judging when I only spoke of one? Nor was I speaking of any religious sense of judgement. I was pointing out that your reading of Paul must be incorrect since incarcerating a particular criminal involves judgement and punishment of the person, inseparable from the act for which the punishment is due.      Where does your authority to tell us the meaning of scripture originate?      Tom Cohoe  ",infinitegrowth could equivocating two sens judging spoke one speaking religious sense judgement pointing reading paul must incorrect since incarcerating particular criminal involves judgement punishment person inseparable act punishment due authority tell u meaning scripture originate tom cohoe,feser,461,0
2824,"@ Infinite_Growth,      ""Does transgenderism falsify the James-Lange theory of emotions?""      What has been falsified is your words that transgenderism is ""stable"" and ""consistent"".      I am not trying to falsify some theory of mind by some other person, but nice attempt to deflect the attention from yourself onto someone else not actually responsible for your words.      Heh!      Why are you running from your words? Are they not funny enough for the big time?      :-)      Tom Cohoe",infinitegrowth transgenderism falsify james-lange theory emotion falsified word transgenderism stable consistent trying falsify theory mind person nice attempt deflect attention onto someone else actually responsible word heh running word funny enough big time - tom cohoe,feser,491,0
2712,"WCB      Isaiah 41   22 Let them bring them forth, and shew us what shall happen: let them shew the former things, what they be, that we may consider them, and know the latter end of them; or declare us things for to come.   23 Shew the things that are to come hereafter, that we may know that ye are gods: yea, do good, or do evil, that we may be dismayed, and behold it together.      WCB     ",wcb isaiah let bring forth shew u shall happen let shew former thing may consider know latter end declare u thing come shew thing come hereafter may know ye god yea good evil may dismayed behold together wcb,feser,395,0
3001,"WCB      The Pentateuch makes no mention of heaven, or hell, immortality, life after death, or immortal souls. The concept of an immortal soul was a concept that developed many centuries later than the Pentateuch. Ancient Egyptians claimed we had three souls. That survived corporeal death. The problem with modern translations is some translations distort the Pentateuch to add concepts absent in the Pentateuch.      Again, looking at official catechisms about official dogmas about souls yeilds little.The Bible says litle about the concept of soul. By contrast, the ancient Greeks speculated quite a bit on the concept. Trying to trace the development of the concept of the human soul in early Jewish though to early Christian though is a sparse puzzle. I have been meaning to some day to check the Dead Sea Scroll Essene works to see if that had any mentions of Essene theories of human souls.      WCB",wcb pentateuch make mention heaven hell immortality life death immortal soul concept immortal soul concept developed many century later pentateuch ancient egyptian claimed three soul survived corporeal death problem modern translation translation distort pentateuch add concept absent pentateuch looking official catechism official dogma soul yeilds littlethe bible say litle concept soul contrast ancient greek speculated quite bit concept trying trace development concept human soul early jewish though early christian though sparse puzzle meaning day check dead sea scroll essene work see mention essene theory human soul wcb,feser,907,0
2089,"Hey, @Tom!      ""That something was God. Believe it, Tadeo, God's purpose, ""before the beginning of time"", as we say, included your personal existence on Earth today and your ability to choose what to do with your life.""      Yes! I do believe in God. Perhaps, believe is not a good word for what I have in mind - but something more certain than that i.e I know that GOD IS!      But what I had in mind when formulating the thoughts of my earlier comments is the fact that I don't think that we need to put God into that question - that's why I didn't use His name till now. And I think that because it seems there is something murkier lurking in the way evolution and natural selection are said to be (not evolution per see but the way the naturalists and co. say they are).      So, I think that it is possible to make an Aristotelian-fashioned claim against that based on the facts that we already know. Because I think there must be something wrong with what they say and that on Aristotelian grounds we can prove that. But again, I'm not a philosopher, I'm just a 24-year-old Brazilian so I'm not in any position to affirm that - I just think that it's possible.      That's why I thought of bringing up that question and seeing what Ed or other A-T guys think of it - besides the fact that I think it's something fundamental to learn about.      @UncommonDescent      ""I'm going out of town and won't be able to reply until Friday. But I am not forgetting you!""      Hey friend I hope that you have a good trip! See you soon.      May God be with you and protect you in your tasks!",hey tom something god believe tadeo purpose beginning time say included personal existence earth today ability choose life yes believe god perhaps believe good word mind - something certain ie know god mind formulating thought earlier comment fact think need put god question - use name till think seems something murkier lurking way evolution natural selection said evolution per see way naturalist co say think possible make aristotelian-fashioned claim based fact already know think must something wrong say aristotelian ground prove philosopher -year-old brazilian position affirm - think possible thought bringing question seeing ed a-t guy think - besides fact think something fundamental learn uncommondescent im going town able reply friday forgetting hey friend hope good trip see soon may god protect task,feser,1587,0
2802,"I'd like to discuss the Scholastic distinction between potency and act. It is often alleged that without this distinction, it is impossible to make sense of change. I'm not so sure about that.      Surely we can account for change simply by positing different levels of actuality. Thus an actual piece of gold (a substance) may acquire the higher- level (accidental) actualizations of roundness and flatness, when hammered by a goldsmith. There's no need for talk of mysterious potencies here - just different levels of actuality.      Consider also the fact that every potency, whether passive or active, is grounded in some actuality. A boxer, for instance, has the passive power to be bruised because his body is actually covered with flesh, and he has the active power to hit and knock out his opponent because his body actually contains bone and muscle, enabling him to punch hard.      Readers might ask, ""What's the difference between the account you're proposing and the Aristotelian account? And couldn't simply we define 'potency' as a lower level of actuality?"" The practical difference between the two accounts is that if every potency is grounded in some actuality, then the existence of prime matter, or pure passive potency, becomes a metaphysical impossibility. It's actuality all the way down, until we finally get to some ultimate physical forms (quantum fields, perhaps?) underlying the everyday objects we see.      What do readers think?",id like discus scholastic distinction potency act often alleged without distinction impossible make sense change sure surely account change simply positing different level actuality thus actual piece gold substance may acquire higher- level accidental actualization roundness flatness hammered goldsmith need talk mysterious potency - different level actuality consider also fact every potency whether passive active grounded actuality boxer instance passive power bruised body actually covered flesh active power hit knock opponent body actually contains bone muscle enabling punch hard reader might ask whats difference account proposing aristotelian account simply define potency lower level actuality practical difference two account every potency grounded actuality existence prime matter pure passive potency becomes metaphysical impossibility actuality way finally get ultimate physical form quantum field perhaps underlying everyday object see reader think,feser,1458,0
759,"Kant seems to consider that phenomena has a lower degree of existence than the thing-itself while considering phenomena real, so it will depend on the view that one takes on the relation between the two.      If we take a two-worlds interpretation them i suppose that both phenomena and noumena ""are"" but on diferent ways, so we need something like analogy. If we take a two-aspects interpretation them it seems like they are just one thing, so there is only a mode of existence. If we take something like S. Gardner view, that we dont know the relation at all, them who knows.",kant seems consider phenomenon lower degree existence thing-itself considering phenomenon real depend view one take relation two take two-worlds interpretation suppose phenomenon noumenon diferent way need something like analogy take two-aspects interpretation seems like one thing mode existence take something like gardner view dont know relation know,feser,577,0
1755,_I presume none of Feser’s CRT sparring partners will actually read this book – they have proved themselves so impervious to even the most charitable and tempered criticism that they seem a lost cause…_,presume none crt sparring partner actually read book – proved impervious even charitable tempered criticism seem lost cause…,feser,202,0
665,"Of course Christian doctrine does not lead us to expect little or no suffering, but that is a strong argument against Christian doctrine .   The problem of evil (or suffering) does not say that there should not be so much evil or suffering if _Christian doctrine_ is true, it says that the existence of (so much) evil or suffering is incompatible with a tri-omni God and _hence_ Christian doctrine, along with other doctrines about God, is false. IOW Christian doctrine _cannot_ be true.   It is hardly a secret that ""the Fall"" is one giant theodicy right from the start. But it's a bad theodicy for several reasons, the most important one being that a tri-omni God would not allow for any fall. Without the Fall human beings would have experienced the beatific vision without the need of suffering.      Moreover, this article does not explain why the good are punished and neither does Augustine, it actually comes down to ""nobody is good"" or ""the good are not really punished."".   People who ""shrink from doing their duty to condemn the wickedness that surrounds them"" are not good, so they do not present a case af good people being punished.      And if ""the loss of worldly blessings – material goods, reputation, friendships, health, livelihood, even life itself – is permitted by God so that we might learn not to cling to these things at the expense of the beatific vision, the value of which trumps all else"", that may explain why good people suffer but it isn't a punishment.     ",course christian doctrine lead u expect little suffering strong argument christian doctrine problem evil suffering say much evil suffering christian doctrine true say existence much evil suffering incompatible tri-omni god hence christian doctrine along doctrine god false iow christian doctrine true hardly secret fall one giant theodicy right start bad theodicy several reason important one tri-omni god would allow fall without fall human being would experienced beatific vision without need suffering moreover article explain good punished neither augustine actually come nobody good good really punished people shrink duty condemn wickedness surround good present case af good people punished loss worldly blessing – material good reputation friendship health livelihood even life – permitted god might learn cling thing expense beatific vision value trump else may explain good people suffer punishment,feser,1491,0
521,"@Walter      ""No, suffering is not a necessary part of our creation unless your claim is that the fall was necessary.   The point of the Fall is that man and not God is responsible for the Fall, but nobody can be responsible for a necessary truth. that would be like saying you are responsible for why 1 + 1 = 2.""      Hey man, just pointing that out:      Simon claim at most is that the fall is necessary if there is rational creatures. Ot is what St. Thomas would call necessary by suposition(i think).      Since God could just not create rational creatures, the fall is not a necessary truth even on Simon view*      Knowing that, it seems that man could be responsable for the fall. if by ""the fall was necessary"" we mean ""if humans exist them the fall has to happen"".         *if it indeed is his view.",walter suffering necessary part creation unless claim fall necessary point fall man god responsible fall nobody responsible necessary truth would like saying responsible hey man pointing simon claim fall necessary rational creature ot st thomas would call necessary supositioni think since god could create rational creature fall necessary truth even simon view knowing seems man could responsable fall fall necessary mean human exist fall happen indeed view,feser,809,0
2450,"It is true that Prof. Feser's post addresses the evils suffered _given the Fall and sin_ in the world. And so it does not address the issue of evil _absent_ the supposition of the Fall and sin.      _Moreover, this article does not explain why the good are punished ... it actually comes down to ""nobody is good""_      The article points out that everybody is ""not good"" _in the relevant sense_ needed for a question of ""why are the good punished"". This is an answer to the question by correcting the presumption embedded in the question.",true prof post address evil suffered given fall sin world address issue evil absent supposition fall sin moreover article explain good punished actually come nobody good article point everybody good relevant sense needed question good punished answer question correcting presumption embedded question,feser,538,0
883,"Talmid      Yes, both views could have existed together, but in that case, why call one of those views ""neo""?   Yes, some gnostics may have believed in DS, but my point is that if not all of them believed in DS, the rejection of DS is not ""newer"" than DS. It has existed for hundreds or even thousands of years.",talmid yes view could existed together case call one view neo yes gnostic may believed d point believed d rejection d newer d existed hundred even thousand year,feser,311,0
370,"Maybe we can say that each of Bob and Carl contributed to an unjust punishment. But what each contributed was just! Still, I think the contribution story seems best to me.",maybe say bob carl contributed unjust punishment contributed still think contribution story seems best,pruss,171,1
