id,message,message_preprocessed,category,length,category_bin
2448,"[17] I’m sympathetic with some of them, in fact. Though, as I will argue below, if we accept them, we should reject trinitarianism.",sympathetic fact though argue accept reject trinitarianism,sceptic,131,0
35,"I trained for about three months, not very heavily. In training did two unofficial full-length practice runs, and in each I beat the previous record: in the first one I got 947.1 meters and in the second I got 1004.5, so I was pretty confident I could beat the 928.5 meters on the official attempt (though I was still pretty nervous). I also trained by doing a small number of approximately 1/2 or 1/3 sized practices (maybe three or so), and more regular shorter runs (1-10 climbs) at fast pace.",trained three month heavily training two unofficial full-length practice run beat previous record first one got meter second got pretty confident could beat meter official attempt though still pretty nervous also trained small number approximately sized practice maybe three regular shorter run - climb fast pace,theist,496,1
3268,"[31] At least for the purposes of this post, I’ll understand _change_ within the context of a _tensed_ theory of time. The reason for this is that Feser is a presentist.",least purpose post understand change within context tensed theory time reason feser presentist,sceptic,169,0
2654,"Indeed, the fact of distinct x’s within a being—i.e., a multiplicity or differentiation among numerically distinct ontological items—is precisely what requires an extrinsic cause in Plotinus’ view. For Plotinus, the One’s simplicity is utterly unqualified (Gavrilyuk, 2019, p. 442). At “Enn. 6.9.4 Plotinus observes that… the One transcends all differentiations characteristic of being… Plotinian simplicity excludes any multiplicity” (Gavrilyuk, 2019, pp. 447-448). Anything apart from the One requires a cause for the unity of its multiplicity, distinction, differentiation, and qualification. Hence, for Plotinus, a differentiation or multiplicity of distinct divine persons would demand an extrinsic sustaining cause.",indeed fact distinct within being—ie multiplicity differentiation among numerically distinct ontological items—is precisely requires extrinsic cause view plotinus simplicity utterly unqualified gavrilyuk p “ enn plotinus observes that… one transcends differentiation characteristic being… plotinian simplicity excludes multiplicity ” gavrilyuk pp - anything apart one requires cause unity multiplicity distinction differentiation qualification hence plotinus differentiation multiplicity distinct divine person would demand extrinsic sustaining cause,sceptic,721,0
3134,"2\. In a similar fashion, you say that our observation of objects ceasing to exist always and only due to a positive cause is superiorly explained by EIT than by CTST. Now the problem with this is that, strictly speaking, we have never observed (nor could we observe) the occurrence of any *positive* causal destruction. The reason is that the very notion is incoherent. Positive causal destruction implies that the non-existence of a concrete object O is the effect of — brought about by — some cause. However, ‘non-existence’ cannot be an effect. Effects must exist in order to stand in the causal relations they do. It follows that objects cannot cease to exist or corrupt through being caused to do so. But then, what does EIT predict over CTST?",similar fashion say observation object ceasing exist always due positive cause superiorly explained eit ctst problem strictly speaking never observed could observe occurrence positive causal destruction reason notion incoherent positive causal destruction implies non-existence concrete object effect — brought — cause however ‘ non-existence effect effect must exist order stand causal relation follows object cease exist corrupt caused eit predict ctst,sceptic,749,0
617,"There are empirical indications that various skills and maybe even virtues are pretty domain specific. It seems that being good at reasoning about one thing need not make one good at reasoning about another, even if the reasoning is formally equivalent.",empirical indication various skill maybe even virtue pretty domain specific seems good reasoning one thing need make one good reasoning another even reasoning formally equivalent,theist,253,1
2628,"But prime matter by itself and apart from substantial form is pure potency, and thus has of itself no tendency to persist in existence.",prime matter apart substantial form pure potency thus tendency persist existence,sceptic,135,0
2146,"It seems to me that before Vatican I, the Church was well aware of the matter of teachings that were binding _in some strong sense_ even without a dogmatic decree by a Council. One of the indicators of this is, expressly, the Church's willingness to categorize someone as ""a heretic"" (and not just condemn their teaching) on the basis of not merely that their idea is erroneous, but that _they should have KNOWN better_ , and thus their holding such ideas is _morally_ faulty as well as intellectually faulty. Certainly, the fact that something had been already _taught universally by the Fathers_ was considered sufficient evidence of its bona fides, without either a council or a papal declaration, and indeed its unanimous affirmation by the Fathers _was USED by the Councils_ as the basis for their dogmatic definitions. But at the same time, there were many other teachings that were neither dogmatically defined, nor contested / disputed, that were simply _passed along_ from generation to generation as being ""what had been taught"" and everybody assented to them and nobody got worked up about whether they were held definitively and irreformably or just, you know, the ordinary teachings of the Church.      The distinction between teachings that have been affirmed by the Church in a way that demands assent without reservation, and teachings that have been affirmed in a way that requires assent that can still be with reservation, has been _implicitly_ present from the beginning. People had been implicitly using that implicit distinction all along.",seems vatican church well aware matter teaching binding strong sense even without dogmatic decree council one indicator expressly willingness categorize someone heretic condemn teaching basis merely idea erroneous known better thus holding idea morally faulty well intellectually faulty certainly fact something already taught universally father considered sufficient evidence bona fides without either council papal declaration indeed unanimous affirmation father used council basis dogmatic definition time many teaching neither dogmatically defined contested disputed simply passed along generation generation taught everybody assented nobody got worked whether held definitively irreformably know ordinary teaching church distinction teaching affirmed church way demand assent without reservation teaching affirmed way requires assent still reservation implicitly present beginning people implicitly using implicit distinction along,theist,1561,1
1486,"@Miguel      That does make sense. It is true that on Europe at the saint time no one would disagree with the idea of natural rights, not even the gnostics, i suppose.      Boy, thinks have gotten worse!      @Anon      That is a neat thinking. Locke style arguments are a interesting theistic view of natural law but the neighbors connection we have thanks to Our God is a more christian basis of the view.      It even reminds me of the stoics. Marcus Aurelius talked about something similar. Of course, the hebrews started things way earlier.         *i think that Epicurus was born a bit latter ",miguel make sense true europe saint time one would disagree idea natural right even gnostic suppose boy think gotten worse anon neat thinking locke style argument interesting theistic view natural law neighbor connection thanks god christian basis view even reminds stoic marcus aurelius talked something similar course hebrew started thing way earlier think epicurus born bit latter,theist,599,1
2672,"Btw, I enjoyed your fourth objection so much that I actually added it to my book manuscript! Here’s what I added:",btw enjoyed fourth objection much actually added book manuscript added,sceptic,113,0
319,Alex      Doesn't you post here entail that we should murder Putin?,alex post entail murder putin,theist,67,1
2942,"I make several points in response. First, note that temperature is (something like) mean molecular kinetic energy. In other words, it’s the average energy content associated with the movement or jiggling of molecules. But what molecules are we talking about? It won’t matter for the continued existence of the sculpture if the mean molecular kinetic energy to which we’re referring is that of molecules _wholly outside_ the sculpture. For if every single molecule _within_ the sculpture (including the one’s on its exact boundaries) retained a mean molecular kinetic energy with a measured value below 32 degrees Fahrenheit, then it will persist in existence. Thus, the kinetic energy of the molecules wholly outside the sculpture are _not_ sustaining causes here. Thus, the kinetic energy of the molecules to which Hsiao and Sanders label as a sustaining cause must be that of the molecules _within_ the sculpture. But in that case, the molecules and activities to which we’ve referred are merely _proper parts_ of the sculpture, not efficient sustaining causes of its existence. They _constitute_ the sculpture; they don’t continuously efficiently cause its very being.[2]",make several point response first note temperature something like mean molecular kinetic energy word average energy content associated movement jiggling molecule molecule talking matter continued existence sculpture mean molecular kinetic energy referring molecule wholly outside sculpture every single molecule within sculpture including exact boundary retained mean molecular kinetic energy measured value degree fahrenheit persist existence thus kinetic energy molecule wholly outside sculpture sustaining cause thus kinetic energy molecule hsiao sander label sustaining cause must molecule within sculpture case molecule activity referred merely proper part sculpture efficient sustaining cause existence constitute sculpture continuously efficiently cause,sceptic,1174,0
2302,"Also, naturalist's theory of ""spandrels"" is, again, a re-enactment of the **actualization of hidden potentialities existing in prime matter.** (an A-Thomistic metaphysical thesis).      Look at this passage from Coyne (Kastrup's ""dim-witted biologist"" :)       **""I have no idea whether consciousness is a direct product of natural selection or a byproduct of selection on features like our brain"".**   https://www.bernardokastrup.com/2020/02/dim-witted-biologist-consciousness- is.html?m=1      What Coyne is hinting at is that some biological features get actualized (become ""real"" when subjected to certain ""selective pressures"" - another name for efficient causes, or the ""inherent powers in the environment""), while others remain **hidden as potentialities/ ""byproducts"").** Once those potentialities are exposed to a different set of environmental conditions (""actualizers"") they come to the surface and become ""real"" (phenotype).      And that's why Jerry Fodor and Massimo Piattelli-Palmarini smelled a rat in Darwin's theory ( _""What Darwin Got Wrong""_ ), although because they had no A-T training, they knew there was a problem, but not what the solution was. But their intuitions were right, as were Nagel's ones (""Mind and Cosmos, or Why the Materialist Neo-Darwinian Conception of Nature is Almost Certainly False"").      Fodor, Palmarini and Nagel, whose amoral, atheistic pals made them into pariahs, because they dared to challenge the darwinian paradigm. They have been vindicated.      Coyne, you little p.o.s., ""evolution"" is certainly true. But under a darwinian/materialistic paradigm, you can bet your purposeless life that you and your pals are 100% wrong. But thank you for your service. The battle is over. And your side has lost.",also theory spandrel re-enactment actualization hidden potentiality existing prime matter a-thomistic metaphysical thesis look passage coyne kastrups dim-witted biologist idea whether consciousness direct product natural selection byproduct selection feature like brain httpswwwbernardokastrupcomdim-witted-biologist-consciousness- ishtmlm coyne hinting biological feature get actualized become real subjected certain selective pressure - another name efficient cause inherent power environment others remain hidden potentiality byproduct potentiality exposed different set environmental condition actualizers come surface become real phenotype jerry fodor massimo piattelli-palmarini smelled rat theory darwin got wrong although a-t training knew problem solution intuition right one mind cosmos materialist neo-darwinian conception nature almost certainly false fodor palmarini nagel whose amoral atheistic pal made pariah dared challenge darwinian paradigm vindicated coyne little po evolution certainly true darwinianmaterialistic paradigm bet purposeless life pal wrong thank service battle side lost,theist,1755,1
