truth,pred,message
1,0,"Je saute l’article 10 car il apporte très peu de données nouvelles, et me concentre sur une question qui va probablement intéresser tous les hébraïsants et autres « Je parle à moitié hébreu dans mes prières, même si je ne sais pas lire l’alphabet en vrai »."
1,0,[Maxime N. Georgel](http://www.parlafoi.local) sur 27 janvier 2020 à 21 h 20 min
1,0,"« De ceux qui lui sont unis en acte par la foi » : les nouveaux convertis, dans cette vie."
1,0,"  6. Pour un recensement utile de ces débats, voir AYRES, Lewis, _Nicaea and its Legacy: An Approach to Fourth Century Trinitarian Theology_ (Oxford, England: Oxford University Press, 2004).[↩]"
1,0,"C’est le point de départ d’une querelle de métaphysiciens de très haut niveau dont je ne suis tout juste capable de comprendre les questions. Alors restons- en là: Malgré les critiques qu’essuie depuis 800 ans la doctrine de « l’analogie de l’être » ou _analogia entis_ , elle trouve encore aujourd’hui des défenseurs, ce qui semble signifier qu’elle n’est pas si boîteuse."
1,0,"> On ne doit rien faire dans le culte divin qui n’ait été institué par Dieu. > Aussi l’Apôtre lui-même, quand il va donner un enseignement sur le sacrifice > de l’Église, dit-il (1 Co 11, 23) : « J’ai reçu du Seigneur ce que je vous > ai transmis. » Or on ne trouve dans l’Écriture aucun enseignement en faveur > de l’adoration des images du Christ. **Réponse :** Les Apôtres, guidés par > l’impulsion intérieure de l’Esprit Saint, ont transmis aux Églises certaines > traditions qu’ils n’avaient pas laissées dans leurs écrits, mais dans la > pratique de l’Église, que les fidèles se transmettaient. C’est ainsi que S. > Paul dit aux Thessaloniciens (2 Th 2,14) : « Tenez ferme et attachez-vous > aux traditions que vous avez reçues de nous, de vive voix ou par lettre. » > Et parmi ces traditions il y a l’adoration des images du Christ. C’est > pourquoi on attribue à S. Luc une peinture du Christ qui se trouve à Rome."
1,0,"_Ou bien, selon S. Jérôme’. » C’est expressément qu’il dit : « Cette coupe », c’est-à-dire celle du peuple des Juifs qui ne peuvent avoir l’excuse de l’ignorance, s’ils me mettent à mort, car ils ont la Loi et les Prophètes qui me prophétisent chaque jour. »_"
1,0,"Les païens n’adoraient pas leurs images comme des réalités. Turretin cite le témoignage de Celsus, Arnobius et même le témoignage adverse d’Augustin qui rapporte l’opinion païenne. Comme le dit Celse, le philosophe païen : « Qui, sinon des enfants, considère ces représentations comme des dieux ? » En fait, leur justification ressemble très fort à celle des romains : ils n’adorent pas la statue, mais le dieu à travers la statue."
1,0,La réalisation (= _oblation_ ) du sacrifice. Ce que les réformés appellent : « l’unique sacrifice de Christ à la croix » sous-entendu : « et non la multiple « réactualisation » du sacrifice entre les mains du prêtre ».
1,0,"De la même façon, l’abattage du gorille Harembe dans le zoo de Cincinnati n’est pas réalisé dans le but de tuer inutilement le gorille, mais pour sauver l’enfant qui était tombé entre ses mains. Ce qui était visé était non la mort du gorille, mais l’intégrité physique de l’enfant qui passait par cette voie. Il était possible de récupérer l’enfant sans déclencher soi-même aucun mal, mais dans ce cas l’enfant aurait été blessé, à moins que ce ne soit un gardien. Le bien supérieur dans cette situation était de tuer le gorille, mais cette mort n’était pas pour autant le but ou la volonté des soigneurs et ils ne sont donc pas responsables de sa mort."
