,id,words,idf
0,0,aaaayaajpgpadqthechildofthecovenantorhowchristianparentsshouldtrainuptheirhouseholds,8.107834890697795
5349,5349,martyrhttpsparlafoifrjustin,8.107834890697795
5371,5371,matures,8.107834890697795
5366,5366,matin,8.107834890697795
5364,5364,mathématiques,8.107834890697795
5362,5362,mathàeuò,8.107834890697795
5361,5361,mathsinfo,8.107834890697795
5360,5360,maths,8.107834890697795
5358,5358,mathieu,8.107834890697795
5354,5354,massif,8.107834890697795
5353,5353,massicotte,8.107834890697795
5350,5350,martèle,8.107834890697795
5347,5347,martyn,8.107834890697795
5373,5373,matérialisait,8.107834890697795
5345,5345,marteler,8.107834890697795
5337,5337,marmonnant,8.107834890697795
5336,5336,marmonant,8.107834890697795
5335,5335,markus,8.107834890697795
5332,5332,maritain,8.107834890697795
5331,5331,marine,8.107834890697795
5330,5330,marin,8.107834890697795
5329,5329,marier,8.107834890697795
5325,5325,marge,8.107834890697795
5324,5324,marchons,8.107834890697795
5372,5372,maturité,8.107834890697795
5374,5374,matérialiste,8.107834890697795
5321,5321,marchand,8.107834890697795
5398,5398,melanchthon,8.107834890697795
5425,5425,meredithhttpsparlafoifrtagmeredith,8.107834890697795
5422,5422,mercy,8.107834890697795
5419,5419,mené,8.107834890697795
5413,5413,mentionnerons,8.107834890697795
5409,5409,mentioned,8.107834890697795
5404,5404,mendiant,8.107834890697795
5403,5403,mendeshttpsplusgooglecom,8.107834890697795
5402,5402,mencehttpsarchiveorgstreamvindiciaefoederimenc,8.107834890697795
5401,5401,menace,8.107834890697795
5399,5399,membership,8.107834890697795
5397,5397,mekhilta,8.107834890697795
5375,5375,matériau,8.107834890697795
5395,5395,mediateurs,8.107834890697795
5394,5394,mec,8.107834890697795
5393,5393,mcneilhttppnwopcorgwp,8.107834890697795
5392,5392,mcneil,8.107834890697795
5391,5391,mcgowan,8.107834890697795
5390,5390,mcgill,8.107834890697795
5389,5389,mcconnel,8.107834890697795
5387,5387,maîtrisé,8.107834890697795
5384,5384,maxwell,8.107834890697795
5378,5378,matériellement,8.107834890697795
5322,5322,marche,8.107834890697795
5320,5320,marchait,8.107834890697795
5427,5427,merveilleuse,8.107834890697795
5243,5243,magnifiquement,8.107834890697795
5267,5267,malade,8.107834890697795
5262,5262,majoritaire,8.107834890697795
5260,5260,majesté,8.107834890697795
5258,5258,maisonhttpsparlafoifrtagmoi,8.107834890697795
5254,5254,maintiennent,8.107834890697795
5252,5252,maintenue,8.107834890697795
5250,5250,maintenirhttpsliturgiecatholiquefrlexiquedulie,8.107834890697795
5247,5247,maintenait,8.107834890697795
5245,5245,mail,8.107834890697795
5244,5244,mai,8.107834890697795
5242,5242,magnifie,8.107834890697795
5270,5270,maladroites,8.107834890697795
5241,5241,magistère,8.107834890697795
5240,5240,magiquement,8.107834890697795
5237,5237,magee,8.107834890697795
5236,5236,magazines,8.107834890697795
5235,5235,magazinehttpstabletalkmagazinecompostsunlatched,8.107834890697795
5234,5234,magazine,8.107834890697795
5233,5233,madianite,8.107834890697795
5232,5232,macronistes,8.107834890697795
5231,5231,macron,8.107834890697795
5230,5230,macmillan,8.107834890697795
5269,5269,maladivement,8.107834890697795
5272,5272,malformation,8.107834890697795
5319,5319,marcel,8.107834890697795
5295,5295,manichéen,8.107834890697795
5315,5315,mantle,8.107834890697795
5314,5314,manqué,8.107834890697795
5308,5308,manoach,8.107834890697795
5307,5307,mankind,8.107834890697795
5305,5305,manipulée,8.107834890697795
5304,5304,manifestées,8.107834890697795
5302,5302,manifesteront,8.107834890697795
5301,5301,manifesterai,8.107834890697795
5297,5297,manifestaient,8.107834890697795
5296,5296,maniera,8.107834890697795
5293,5293,mangez,8.107834890697795
5276,5276,malhonnêtement,8.107834890697795
5290,5290,mangera,8.107834890697795
5288,5288,mangent,8.107834890697795
5287,5287,mangeant,8.107834890697795
5286,5286,mangeait,8.107834890697795
5283,5283,mandat,8.107834890697795
5282,5282,manche,8.107834890697795
5281,5281,man,8.107834890697795
5279,5279,malversation,8.107834890697795
5278,5278,malice,8.107834890697795
5277,5277,malhttpswwwyoutubecomwatchvkyjybuflm,8.107834890697795
5426,5426,merit,8.107834890697795
5434,5434,metaphysicae,8.107834890697795
5626,5626,mystérieux,8.107834890697795
5543,5543,montagne,8.107834890697795
5570,5570,mosaichtml,8.107834890697795
5568,5568,mortifiée,8.107834890697795
5567,5567,mortification,8.107834890697795
5564,5564,mortalité,8.107834890697795
5562,5562,morsure,8.107834890697795
5561,5561,morija,8.107834890697795
5556,5556,moquait,8.107834890697795
5553,5553,montrez,8.107834890697795
5546,5546,montgomery,8.107834890697795
5544,5544,montanisme,8.107834890697795
5542,5542,monta,8.107834890697795
5573,5573,moscow,8.107834890697795
5540,5540,monstrueuse,8.107834890697795
5539,5539,monstre,8.107834890697795
5538,5538,monothéisme,8.107834890697795
5537,5537,monnaie,8.107834890697795
5535,5535,monastiquechbibliothequebibliothequesaintsaugustinpolemiquesdonatbaptemelivrehtm,8.107834890697795
5534,5534,monastier,8.107834890697795
5533,5533,momentanée,8.107834890697795
5531,5531,moliniste,8.107834890697795
5530,5530,molinisme,8.107834890697795
5529,5529,moitié,8.107834890697795
5572,5572,mosaïquehttpsparlafoifrlalliance,8.107834890697795
5575,5575,mosespdf,8.107834890697795
5523,5523,moeurs,8.107834890697795
5603,5603,multicolore,8.107834890697795
5620,5620,myst,8.107834890697795
5619,5619,myriade,8.107834890697795
5616,5616,mutuelle,8.107834890697795
5615,5615,mutuel,8.107834890697795
5613,5613,mutualisme,8.107834890697795
5612,5612,mutualism,8.107834890697795
5610,5610,musclé,8.107834890697795
5607,5607,multitude,8.107834890697795
5606,5606,multipliées,8.107834890697795
5605,5605,multiplier,8.107834890697795
5602,5602,mullerhttpsbiblicalspiritualityfileswordpresscomthe,8.107834890697795
5576,5576,most,8.107834890697795
5597,5597,mr,8.107834890697795
5596,5596,moïsehttpsparlafoifrpourquoi,8.107834890697795
5590,5590,mouvant,8.107834890697795
5589,5589,mourut,8.107834890697795
5587,5587,mourrait,8.107834890697795
5584,5584,mourant,8.107834890697795
5583,5583,mouillé,8.107834890697795
5582,5582,mouche,8.107834890697795
5581,5581,motive,8.107834890697795
5580,5580,motion,8.107834890697795
5526,5526,moine,8.107834890697795
5521,5521,modus,8.107834890697795
5435,5435,metaphysics,8.107834890697795
5455,5455,michael,8.107834890697795
5469,5469,mimait,8.107834890697795
5468,5468,millimètre,8.107834890697795
5467,5467,millennium,8.107834890697795
5466,5466,mille,8.107834890697795
5465,5465,militent,8.107834890697795
5464,5464,militaire,8.107834890697795
5462,5462,milan,8.107834890697795
5459,5459,mien,8.107834890697795
5457,5457,midrash,8.107834890697795
5456,5456,michel,8.107834890697795
5453,5453,mical,8.107834890697795
5472,5472,mince,8.107834890697795
5451,5451,mhttpsbooksgooglefrbooksidclniaaaacaajpgprdqaninquirywhereintheendanddesignofbaptismetc,8.107834890697795
5450,5450,mezzanine,8.107834890697795
5449,5449,meyer,8.107834890697795
5448,5448,meuvent,8.107834890697795
5447,5447,meuve,8.107834890697795
5445,5445,meurt,8.107834890697795
5442,5442,mettras,8.107834890697795
5441,5441,mettons,8.107834890697795
5440,5440,mettez,8.107834890697795
5438,5438,mettant,8.107834890697795
5470,5470,mimique,8.107834890697795
5473,5473,miner,8.107834890697795
5520,5520,modifié,8.107834890697795
5505,5505,mixture,8.107834890697795
5519,5519,modifie,8.107834890697795
5518,5518,modeste,8.107834890697795
5516,5516,moderniste,8.107834890697795
5515,5515,modernisme,8.107834890697795
5512,5512,modehttpsarchiveorgdetailsinfantbaptismscrmi,8.107834890697795
5510,5510,mobilité,8.107834890697795
5509,5509,mobilisé,8.107834890697795
5508,5508,mobilise,8.107834890697795
5507,5507,mobile,8.107834890697795
5506,5506,moabite,8.107834890697795
5502,5502,mixité,8.107834890697795
5476,5476,minister,8.107834890697795
5500,5500,mitsvah,8.107834890697795
5497,5497,misère,8.107834890697795
5493,5493,mishi,8.107834890697795
5492,5492,misha,8.107834890697795
5488,5488,mireille,8.107834890697795
5487,5487,miraculeux,8.107834890697795
5486,5486,miraculeusement,8.107834890697795
5485,5485,miraculeuse,8.107834890697795
5483,5483,minutieusement,8.107834890697795
5481,5481,minority,8.107834890697795
5229,5229,machen,8.107834890697795
5228,5228,macedohttpkatekomengptseduklhortonian,8.107834890697795
5223,5223,lévite,8.107834890697795
4953,4953,lanabaptisme,8.107834890697795
4973,4973,larocca,8.107834890697795
4967,4967,lapsaire,8.107834890697795
4966,4966,lapidis,8.107834890697795
4965,4965,lapidaire,8.107834890697795
4964,4964,lançait,8.107834890697795
4963,4963,lantern,8.107834890697795
4961,4961,langle,8.107834890697795
4958,4958,lancée,8.107834890697795
4957,4957,lancien,8.107834890697795
4954,4954,lanalyse,8.107834890697795
4952,4952,lampe,8.107834890697795
4975,4975,larron,8.107834890697795
4951,4951,lame,8.107834890697795
4949,4949,laissés,8.107834890697795
4943,4943,laissent,8.107834890697795
4940,4940,laissa,8.107834890697795
4939,4939,laevum,8.107834890697795
4937,4937,laedit,8.107834890697795
4936,4936,ladministrationhttpsparlafoifrque,8.107834890697795
4933,4933,labor,8.107834890697795
4931,4931,kyrios,8.107834890697795
4929,4929,kurt,8.107834890697795
4974,4974,larochelle,8.107834890697795
