message,length
"Nous avons décrit Dieu en lui-même, et nous commençons, depuis plusieurs semaines, à décrire Dieu dans sa relation aux autres: tel qu’il est connu de nous, de comment nous le nommons. Après avoir pris une sorte de petite pause à la question 13 (petite pause qui nous a pris deux épisodes), Thomas décrit l’omniscience de Dieu. La question fait 16 articles, ce qui me force à faire un choix éditorial. Soit je mets 3 semaines à faire le tour. Soit je force le tout en un seul article, en faisant alors très vite chaque article. Je décide de jouer au lièvre. Vous pourrez toujours me contacter si vous voulez que je précise un point ou mieux: lire vous même la question 14 de la Première partie de la Summa! Voici les questions que nous allons aborder:",750
"1 Y a-t-il science en Dieu ? – Oui.2. Dieu se connaît-il lui-même ? – Oui.3. Dieu se connaît-il tout de lui-même ? – Oui.4. Est-il son propre savoir? – Oui5. Dieu connaît-il les autres ? – Oui6. Dieu a-t-il des autres une connaissance directement? – Oui7. La science de Dieu est-elle linéaire, une pensée après l’autre ? – Non8. La science de Dieu est-elle cause des choses ? – Oui (Calvinistes de tous bords, oyez!)9. Dieu a-t-il connaissance des choses qui ne sont pas ? – Oui10. Dieu a-t-il connaissance des maux ? – Oui11. Dieu connaît-il les singuliers ? – Oui12. Dieu connaît-il une infinité de choses ? – Oui13. Dieu connaît-il les futurs contingents ? – Oui (Molinistes de tous pays…)14. Dieu connaît-il nos énonciations ? – Oui15. La science de Dieu est-elle soumise au changement ? – Non, contre les théistes ouverts.16. Dieu a-t-il des choses une connaissance spéculative, ou une connaissance pratique ? – Spéculative principalement.",944
"Avant de savoir comment une chose est, il faut toujours se poser la question de si elle est. De multiples versets bibliques pourraient être invoqués. Thomas choisit:",165
"l’Apôtre écrit (Rm 11, 33) : “ O profondeur inépuisable de la sagesse et de la science de Dieu ! ” En Dieu il y a science, le plus parfaitement qui soit – Ia, Q14, a1",166
"Pourquoi? Parce que l’acquisition de connaissance se fait -selon l’épistémologie d’Aristote- par la « Forme » du connaissant (cad notre âme) et que la limite de notre connaissance se fait par la limite de notre forme. Plus notre forme est haute, et plus nous pouvons savoir de choses tout comme un insecte avec ses capacités limitées peut savoir moins de choses qu’un homme avec ses capacités cognitives élevées. La pierre ne peut rien savoir, parce que sa forme ne dépasse pas de la matière. Le chat peut savoir un peu, parce que sa forme (= son âme) dépasse déjà un peu de la matière. L’homme a la forme la plus évoluée et complète du monde matériel, aussi est-il le plus capable de savoir de tous les êtres matériels. Mais il est dépassé par les anges, qui n’ont même pas la limite de la matière pour limiter leur savoir: ils contemplent les idées directement.",863
"On voit donc que l’immatérialité d’un être est ce qui fait qu’il soit doué de connaissance, et son degré de connaissance se mesure à son immatérialité. Aussi Aristote explique-t-il, dans le traité De l’Ame, que les plantes ne connaissent pas en raison de leur matérialité. Le sens, lui, est connaissant en raison de sa capacité à recevoir des formes sans matière ; et l’intellect est connaissant à un plus haut degré encore, parce qu’il est plus séparé de la matière, et non mélangé à elle, dit Aristote.Comme Dieu est au sommet de l’immatérialité, ainsi qu’on l’a vu par ce qui précède, il est en conséquence au sommet de la connaissance. –Ia, Q14, a1",652
"Autant il nous est facile de connaître ce qui est extérieur à nous, autant il est difficile de nous connaître nous-même. J’en veux pour preuve les multiples écoles de psychologie qui sont très loin de s’entendre les unes avec les autres. Est-ce la même chose pour Dieu?",269
"l’Apôtre écrit (1 Co 2, 11) : “ Nul ne connaît ce qui concerne Dieu, si ce n’est l’Esprit de Dieu. ” Dieu se connaît, et il se connaît par lui-même. – Ia, Q14, a2",162
"Pour rappel, nous sommes limités dans notre connaissance de Dieu parce que nous construisons notre compréhension de Lui à partir de formes limitées: nous comprenons qu’il est père à partir des pères humains, nous comprenons qu’il est fort à partir des forces de la création et ainsi de suite. Mais au final, nous sommes toujours dépendant de formes « inférieures » pour comprendre celui qui est au dessus de toutes les formes, toutes les idées. Même si nous avions dans nos esprits la connaissance de tout ce qui existe, d’absolument tout, il nous manquerait encore quelque chose pour comprendre (= connaître entièrement) Dieu.",627
"Mais Dieu n’a pas ce genre de limite, sa connaissance n’est pas construire par des formes inférieures. Il peut donc se connaître lui-même.",138
"Il ne le semble pas, car S. Augustin écrit : “ Un être qui se comprend est fini pour lui-même. ” Or, Dieu est de toute manière infini : donc il ne peut se comprendre lui-même. – Ia, Q14, a3",189
Augustin écrit au même endroit : “ Tout être qui se connaît intellectuellement se comprend. ” Dieu a de lui-même une connaissance compréhensive – Idem,150
"Puisqu’il n’a pas -conformément à ce qu’on vient de dire- de limite à sa capacité de connaître, alors il peut connaître l’infinité. Sa propre infinité.",151
"Augustin affirme : “ Pour Dieu, être, c’est être sage. ” Etre sage, ici, c’est connaître. Donc, pour Dieu, être, c’est connaître par l’intelligence. Or, nous avons vu plus haut que l’être de Dieu est identique à sa substance ; donc, l’intellection, en Dieu, est identique à sa substance – Ia Q14 a4",298
Intellection = acte de connaître. Dieu est le Sachant. Voici la justification:,78
"Si l’intellection de Dieu était distincte de sa substance, il s’ensuivrait, selon le Philosophe au livre XII de la Métaphysique, que cette substance divine trouverait son acte et sa perfection dans autre chose qu’elle-même – Idem",229
"Si le savoir de Dieu est une sorte de giga-serveur situé en dehors de Dieu lui-même, alors on tomberait dans le platonisme et on ferait de Dieu un démiurge qui connaît la réalité comme si elle était extérieur à lui. Cette perfection qu’est la connaissance ne serait pas en Dieu mais en dehors de Dieu. Inacceptable.",315
"De tout ce qui précède il résulte qu’en Dieu, l’intellect, le connu, la forme intelligible et le connaître lui-même sont absolument une seule et même chose.",156
L’intellect = le savoir; le connu = l’objet du savoir; La forme intelligible = le moyen du savoir; Le connaître lui-même = l’acte du savoir. Chez nous ces choses sont alignées de façon chronologiques. En Dieu elles sont une seule et même chose.,244
On a tellement dit que Dieu se connaît lui-même et qu’il se connaît tout lui-même qu’on se demande s’il connaît quelque chose d’extérieur à lui?,144
"On lit dans l’épître aux Hébreux (4, 13) : “ Toutes choses sont à nu et à découvert devant ses yeux.” De toute nécessité il faut dire que Dieu connaît les autres.-Ia, q14, a5",174
"En effet, si Dieu se connaît lui-même, il connaît aussi ce qu’il fait. Si vous n’êtes pas convaincus, essayez donc de faire une histoire complète des empereurs romains sans mentionner une seule fois ce qu’ils ont fait et décidé… S’il connaît ce qu’il fait, alors il connaît aussi l’univers qu’il a crée, les « autres ».",319
"Certes, mais on a l’impression à partir de là que ce n’est pas une connaissance directe: Dieu se connaît en tant que créateur, il sait qu’il a crée E Omnès, mais ce n’est pas vraiment la connaissance propre de E Omnès.",218
"Avoir des choses une connaissance propre, c’est les connaître non seulement en général, mais selon qu’elles se distinguent les unes des autres. Or, c’est ainsi que Dieu connaît les choses, selon ces paroles de l’épître aux Hébreux (4,12) : “ Elle va (la parole de Dieu) jusqu’à distinguer l’âme et l’esprit, les jointures et les mœlles ; elle démêle les sentiments et les pensées du cœur. Aussi nulle créature n’est cachée devant Dieu. ” – Ia Q14, a6",450
"Le raisonnement qui soutient l’affirmation est assez long, mais peut être résumé par le paragraphe final de sa réponse:",119
"Ainsi donc, comme son essence comprend tout ce qu’il y a de perfection dans l’essence de quelque autre chose que ce soit, et bien davantage, Dieu peut connaître en lui-même toutes choses d’une connaissance propre. Car la nature propre d’un être quelconque a consistance selon qu’elle participe en quelque manière la perfection divine. Or Dieu ne se connaîtrait point parfaitement lui-même, s’il ne connaissait toutes les manières dont sa perfection peut être participée par d’autres. Et la nature même de l’être ne lui serait pas connue parfaitement, s’il ne connaissait tous les modes d’être. Il est donc manifeste que Dieu connaît toutes choses d’une connaissance propre, selon que chacune se distingue des autres. – Ia, Q14, a6",730
"Donc non seulement Dieu connaît l’humain en général, mais il connaît tous les humains en particulier, parce que c’est de lui que ces mêmes individus tirent leur existences, leurs qualités, et la façon dont elles sont combinées.",227
Article 7: La science de Dieu est-elle une pensée après l’autre?,64
Thomas articule une idée qui est reprise et joliment décrite par Wayne Grudem dans sa théologie systématique. Voici ce qu’il en dit:,132
"Notre définition de la connaissance de Dieu nous amène à dire que Dieu connaît tout par un « acte simple ». Ici encore le mot simple veut dire « non composé de parties ». Cela signifie que Dieu est pleinement conscient de tout. S’il veut nous dire le nombre de grains de sable au bord de la mer ou le nombre d’étoiles dans le ciel, il n’aura pas à les dénombrer rapidement comme une sorte d’ordinateur géant, et il n’aura pas non plus besoin de se remettre le nombre en tête parce qu’il n’y a plus pensé depuis longtemps. A la place, il sait toute chose à la fois. Tous ces faits et d’autres choses connues encore sont toujours pleinement présentes à sa conscience. Il n’a pas besoin de raisonner pour arriver à une conclusion ou de peser le pour et le contre avant une décision, car il sait la fin depuis le début et il n’apprendra ni n’oubliera jamais rien. – Wayne Grudem, Théologie systématique, Partie 2, chapitre 12 section 3 « l’omniscience de Dieu »",957
"Si vous vous intéressez aux détails du raisonnement, consultez donc la Summa. Sinon, je me contenterai de dire que c’est bel et bien la position de Thomas lorsqu’il cite Augustin pour dire:",189
"Augustin écrit : “ Dieu voit toutes choses non une à une et par un regard alternatif, comme s’il voyait ici puis là ; il voit tout en même temps. » Dans la science divine, il n’y a rien de discursif. – Ia, Q14, a7",213
Est ce que Judas trahit Jésus parce que Dieu sait qu’il va trahir?,66
Ou bien le savoir que Dieu a de la trahison de Jésus est causé par la décision de Juda?,87
"Cette question est très contrariante, surtout pour les arminiens ou partisans d’un libre-arbitre totalement indéterminé. William Lane Craig défend ouvertement la deuxième proposition, disant notamment que c’est au savoir de Dieu de « s’adapter » à la décision de Judas: Le savoir de Dieu ne vient que d’une consultation des évènements, il n’est pas cause de ceux-ci.",366
"A l’inverse, depuis au moins Augustin et Boèce (qui sont les premiers à avoir explorés la question), c’est bel et bien la première proposition qui est défendue par les pères de l’église et leurs successeurs. La cause de l’écriture de cet article, c’est que Dieu sait que je l’écris.  Et c’est donc selon cette école que Thomas dit:",331
Augustin écrit : “ Dieu ne connaît pas l’universalité des créatures spirituelles ou corporelles parce qu’elles sont ; mais elles sont parce qu’il les connaît. ”La science de Dieu est la cause des choses ; car la science de Dieu est à l’égard des choses créées ce qu’est la science de l’artisan à l’égard de ses œuvres. – Ia Q14 a 8,331
"Si le menuisier sait qu’il y aura un escalier à cet emplacement, et comment sera cet escalier, c’est parce qu’il a lui-même conçu et voulu cet escalier! De la même façon, le Dieu créateur et vivant cause notre vie, et c’est pour cela qu’il connaît tous ses évènements, parce qu’ils sont décidés par lui. Abordons tout de même une objection très intéressante, parce qu’elle est portée par un père de l’église très éminent, et qu’elle est restée très contemporaine.",463
"Obj 1: Il semble que non, car Origène dit ceci : “ Ce n’est pas parce que Dieu sait qu’une chose doit être un jour, que cette chose sera ; mais parce qu’elle doit être, Dieu sait d’avance qu’elle sera. ”",203
Exactement ce que dit William Lane Craig. Et Thomas de répondre:,64
