TfidfVectorizer

                               words       idf
0      aaaayaajpgpadqthechildofth...  8.965546
1                               aaen  8.272398
2                              aaron  8.560080
3                                 ab  8.560080
4                            abaissé  8.965546
5                          abandonne  8.965546
6                         abandonner  8.965546
7                          abandonné  7.866933
8                               abba  8.965546
9                               abel  8.560080
...                              ...       ...
11059                          πάντα  8.560080
11060                        πλήρωμα  8.560080
11061                       στοιχεῖα  8.560080
11062                            τοῦ  8.560080
11063                             τὰ  8.560080
11064                         χρόνου  8.560080
11065                            בוא  8.560080
11066                            טבל  8.560080
11067                           יהוה  8.560080
11068                           ἔθνη  8.560080


CountVectorizer
TfidfTransformer

                               words       idf
0      aaaayaajpgpadqthechildofth...  8.965546
1                               aaen  8.272398
2                              aaron  8.560080
3                                 ab  8.560080
4                            abaissé  8.965546
5                          abandonne  8.965546
6                         abandonner  8.965546
7                          abandonné  7.866933
8                               abba  8.965546
9                               abel  8.560080
...                              ...       ...
11059                          πάντα  8.560080
11060                        πλήρωμα  8.560080
11061                       στοιχεῖα  8.560080
11062                            τοῦ  8.560080
11063                             τὰ  8.560080
11064                         χρόνου  8.560080
11065                            בוא  8.560080
11066                            טבל  8.560080
11067                           יהוה  8.560080
11068                           ἔθνη  8.560080


